"custo";"valor_custo";"flag_fixo";"flag_variavel";"flag_pendente";"data_base";"semana";"data_custo";"tipo_custo";"dt_pagto_bq";"dt_custo_bq"
"agua+refri";"3.99";0;1;0;"01/06/2018";"3ª semana";"22/06/2018";"alimentação";"2018-06-01";"2018-06-22"
"agua+bolo";"11.98";0;1;0;"01/06/2018";"3ª semana";"22/06/2018";"alimentação";"2018-06-01";"2018-06-22"
"agua/bolacha";"10.98";0;1;0;"01/07/2018";"2ª semana";"13/07/2018";"alimentação";"2018-07-01";"2018-07-13"
"agua bolacha";"6.59";0;1;0;"01/05/2018";"3ª semana";"14/05/2018";"alimentação";"2018-05-01";"2018-05-14"
"agua bolacha";"8.49";0;1;0;"01/12/2018";"1ª semana";"03/12/2018";"alimentação";"2018-12-01";"2018-12-03"
"agua bolacha";"12.5";0;1;0;"01/12/2018";"1ª semana";"18/12/2018";"alimentação";"2018-12-01";"2018-12-18"
"agua + energetico";"11.98";0;1;0;"01/01/2018";"1ª semana";"02/01/2018";"alimentação";"2018-01-01";"2018-01-02"
"agua + bolacha";"6.49";0;1;0;"01/06/2018";"2ª semana";"15/06/2018";"alimentação";"2018-06-01";"2018-06-15"
"agua + bloacha";"4.18";0;1;0;"01/06/2018";"3ª semana";"18/06/2018";"alimentação";"2018-06-01";"2018-06-18"
"agua";3;0;1;0;"01/01/2018";"1ª semana";"27/12/2017";"alimentação";"2018-01-01";"2017-12-27"
"agua";"2.5";0;1;0;"01/01/2018";"1ª semana";"29/12/2017";"alimentação";"2018-01-01";"2017-12-29"
"agua";3;0;1;0;"01/01/2018";"2ª semana";"09/01/2018";"alimentação";"2018-01-01";"2018-01-09"
"agua";"2.9";0;1;0;"01/01/2018";"2ª semana";"12/01/2018";"alimentação";"2018-01-01";"2018-01-12"
"agua";3;0;1;0;"01/01/2018";"2ª semana";"14/01/2018";"alimentação";"2018-01-01";"2018-01-14"
"agua";"2.99";0;1;0;"01/01/2018";"2ª semana";"14/01/2018";"alimentação";"2018-01-01";"2018-01-14"
"agua";"2.99";0;1;0;"01/01/2018";"3ª semana";"17/01/2018";"alimentação";"2018-01-01";"2018-01-17"
"agua";"2.99";0;1;0;"01/01/2018";"3ª semana";"22/01/2018";"alimentação";"2018-01-01";"2018-01-22"
"agua";3;0;1;0;"01/02/2018";"3ª semana";"11/02/2018";"alimentação";"2018-02-01";"2018-02-11"
"agua";"2.99";0;1;0;"01/03/2018";"2ª semana";"05/03/2018";"alimentação";"2018-03-01";"2018-03-05"
