"custo";"valor_custo";"flag_fixo";"flag_variavel";"flag_pendente";"data_base";"semana";"data_custo";"tipo_custo";"dt_pagto_bq";"dt_custo_bq"
"portoseguro";"441.06";1;0;0;"01/11/2018";"1ª semana";"14/11/2018";"cartão credito";"2018-11-01";"2018-11-14"
"portoseguro";"306.3";1;0;0;"01/12/2018";"1ª semana";"20/12/2018";"cartão credito";"2018-12-01";"2018-12-20"
"por matre";24;0;1;0;"01/10/2018";"1ª semana";"17/10/2018";"compras";"2018-10-01";"2018-10-17"
"ponto da estacao";"30.78";0;1;0;"01/04/2018";"3ª semana";"16/04/2018";"alimentação";"2018-04-01";"2018-04-16"
"ponto da estacao";"1.5";0;1;0;"01/05/2018";"3ª semana";"16/05/2018";"alimentação";"2018-05-01";"2018-05-16"
"point";4;0;1;0;"01/05/2018";"1ª semana";"04/05/2018";"alimentação";"2018-05-01";"2018-05-04"
"poderoso";"65.8";0;1;0;"01/12/2018";"1ª semana";"24/12/2018";"compras";"2018-12-01";"2018-12-24"
"poderoso";"7.8";0;1;0;"01/12/2018";"1ª semana";"24/12/2018";"compras";"2018-12-01";"2018-12-24"
"playland";22;0;1;0;"01/04/2018";"2ª semana";"13/04/2018";"compras";"2018-04-01";"2018-04-13"
"playland";32;0;1;0;"01/10/2018";"1ª semana";"15/10/2018";"compras";"2018-10-01";"2018-10-15"
"play land";20;0;1;0;"01/10/2018";"1ª semana";"29/10/2018";"compras";"2018-10-01";"2018-10-29"
"pizza hutt";"7.5";0;1;0;"01/11/2018";"1ª semana";"28/11/2018";"alimentação";"2018-11-01";"2018-11-28"
"pizza hutt";21;0;1;0;"01/12/2018";"1ª semana";"20/12/2018";"alimentação";"2018-12-01";"2018-12-20"
"pizza";28;0;1;0;"01/01/2018";"2ª semana";"14/01/2018";"alimentação";"2018-01-01";"2018-01-14"
"pizza";"25.88";0;1;0;"01/02/2018";"2ª semana";"10/02/2018";"alimentação";"2018-02-01";"2018-02-10"
"pizza";30;0;1;0;"01/03/2018";"2ª semana";"10/03/2018";"compras";"2018-03-01";"2018-03-10"
"pirapora";8;0;1;0;"01/02/2018";"4ª semana";"23/02/2018";"alimentação";"2018-02-01";"2018-02-23"
"pipoca";10;0;1;0;"01/09/2018";"2ª semana";"10/09/2018";"compras";"2018-09-01";"2018-09-10"
"perua";70;0;1;0;"01/10/2018";"1ª semana";"29/10/2018";"compras";"2018-10-01";"2018-10-29"
"perua";70;0;1;0;"01/11/2018";"1ª semana";"29/11/2018";"compras";"2018-11-01";"2018-11-29"
"perfurmaria";"26.7";0;1;0;"01/12/2018";"1ª semana";"29/12/2018";"compras";"2018-12-01";"2018-12-29"
"perfume";"34.9";0;1;0;"01/12/2018";"1ª semana";"24/12/2018";"compras";"2018-12-01";"2018-12-24"
"peixe bandejo";30;0;1;0;"01/11/2018";"1ª semana";"11/11/2018";"mercado";"2018-11-01";"2018-11-11"
"paulasa";12;0;1;0;"01/05/2018";"2ª semana";"06/05/2018";"compras";"2018-05-01";"2018-05-06"
"paulasa";12;0;1;0;"01/07/2018";"5ª semana";"30/07/2018";"alimentação";"2018-07-01";"2018-07-30"
"paula";5;0;1;0;"01/03/2018";"3ª semana";"26/03/2018";"compras";"2018-03-01";"2018-03-26"
"pastel";6;0;1;0;"01/08/2018";"2ª semana";"13/08/2018";"feira";"2018-08-01";"2018-08-13"
"pastel";12;0;1;0;"01/11/2018";"1ª semana";"05/11/2018";"alimentação";"2018-11-01";"2018-11-05"
"pasta";"8.5";0;1;0;"01/03/2018";"2ª semana";"09/03/2018";"compras";"2018-03-01";"2018-03-09"
"passeio niver samuel";20;0;1;0;"01/09/2018";"3ª semana";"20/09/2018";"compras";"2018-09-01";"2018-09-20"
"parquinho";20;0;1;0;"01/09/2018";"2ª semana";"10/09/2018";"compras";"2018-09-01";"2018-09-10"
"park";5;0;1;0;"01/01/2018";"3ª semana";"30/01/2018";"estacionamento";"2018-01-01";"2018-01-30"
"park";15;0;1;0;"01/08/2018";"1ª semana";"07/08/2018";"estacionamento";"2018-08-01";"2018-08-07"
"parc 03/06 reforma hall";"68.67";1;0;0;"01/10/2018";"1ª semana";"11/10/2018";"moradia";"2018-10-01";"2018-10-11"
"parc 01/06 reforma hall";25;1;0;0;"01/01/2018";"1ª semana";"05/01/2018";"moradia";"2018-01-01";"2018-01-05"
"parc 01/06 reforma hall";25;1;0;0;"01/02/2018";"3ª semana";"15/02/2018";"moradia";"2018-02-01";"2018-02-15"
"parc 01/06 reforma hall";25;1;0;0;"01/03/2018";"1ª semana";"29/03/2018";"moradia";"2018-03-01";"2018-03-29"
"parc 01/06 reforma hall";25;1;0;0;"01/04/2018";"1ª semana";"06/04/2018";"moradia";"2018-04-01";"2018-04-06"
"parc 01/06 reforma hall";25;1;0;0;"01/05/2018";"1ª semana";"08/05/2018";"moradia";"2018-05-01";"2018-05-08"
"parc 01/06 reforma hall";25;1;0;0;"01/06/2018";"2ª semana";"11/06/2018";"moradia";"2018-06-01";"2018-06-11"
"parc 01/06 reforma hall";0;1;0;1;"01/07/2018";"1ª semana";;"moradia";"2018-07-01";"2018-07-01"
"parc 01/06 reforma hall";"68.67";1;0;0;"01/08/2018";"1ª semana";"14/08/2018";"moradia";"2018-08-01";"2018-08-14"
"papelaria copia";"41.4";0;1;0;"01/04/2018";"3ª semana";"20/04/2018";"compras";"2018-04-01";"2018-04-20"
"papelaria";"12.15";0;1;0;"01/01/2018";"1ª semana";"22/12/2017";"compras";"2018-01-01";"2017-12-22"
"papelaria";"2.5";0;1;0;"01/04/2018";"2ª semana";"09/04/2018";"compras";"2018-04-01";"2018-04-09"
"papelaria";"29.5";0;1;0;"01/04/2018";"2ª semana";"13/04/2018";"compras";"2018-04-01";"2018-04-13"
"pao de açucar";"2.57";0;1;0;"01/01/2018";"3ª semana";"26/01/2018";"alimentação";"2018-01-01";"2018-01-26"
"pao";"2.55";0;1;0;"01/02/2018";"4ª semana";"26/02/2018";"alimentação";"2018-02-01";"2018-02-26"
"pao";"7.5";0;1;0;"01/05/2018";"3ª semana";"16/05/2018";"alimentação";"2018-05-01";"2018-05-16"
"panificadora";"18.82";0;1;0;"01/05/2018";"5ª semana";"30/05/2018";"padaria";"2018-05-01";"2018-05-30"
"panetone";16;0;1;0;"01/01/2018";"1ª semana";"27/12/2017";"alimentação";"2018-01-01";"2017-12-27"
"panetone";16;0;1;0;"01/01/2018";"1ª semana";"28/12/2017";"alimentação";"2018-01-01";"2017-12-28"
"panetone";"16.5";0;1;0;"01/01/2018";"1ª semana";"30/12/2017";"alimentação";"2018-01-01";"2017-12-30"
"paes";"13.84";0;1;0;"01/11/2018";"1ª semana";"19/11/2018";"alimentação";"2018-11-01";"2018-11-19"
"padaria festa eloah";"87.89";0;1;0;"01/12/2018";"1ª semana";"14/12/2018";"padaria";"2018-12-01";"2018-12-14"
"padaria";"15.52";0;1;0;"01/01/2018";"2ª semana";"14/01/2018";"padaria";"2018-01-01";"2018-01-14"
"padaria";"10.49";0;1;0;"01/04/2018";"3ª semana";"18/04/2018";"padaria";"2018-04-01";"2018-04-18"
"padaria";"12.79";0;1;0;"01/06/2018";"1ª semana";"10/06/2018";"padaria";"2018-06-01";"2018-06-10"
"padaria";"11.12";0;1;0;"01/06/2018";"2ª semana";"11/06/2018";"padaria";"2018-06-01";"2018-06-11"
"padaria";"11.71";0;1;0;"01/06/2018";"3ª semana";"18/06/2018";"padaria";"2018-06-01";"2018-06-18"
"padaria";"6.5";0;1;0;"01/06/2018";"3ª semana";"23/06/2018";"padaria";"2018-06-01";"2018-06-23"
"padaria";"5.4";0;1;0;"01/06/2018";"3ª semana";"24/06/2018";"padaria";"2018-06-01";"2018-06-24"
"padaria";10;0;1;0;"01/07/2018";"3ª semana";"17/07/2018";"padaria";"2018-07-01";"2018-07-17"
"padaria";"8.16";0;1;0;"01/09/2018";"2ª semana";"14/09/2018";"padaria";"2018-09-01";"2018-09-14"
"padaria";"2.64";0;1;0;"01/09/2018";"2ª semana";"14/09/2018";"padaria";"2018-09-01";"2018-09-14"
"padaria";"13.53";0;1;0;"01/10/2018";"1ª semana";"05/10/2018";"padaria";"2018-10-01";"2018-10-05"
"padaria";"22.58";0;1;0;"01/12/2018";"1ª semana";"12/12/2018";"padaria";"2018-12-01";"2018-12-12"
"padaria";"20.88";0;1;0;"01/12/2018";"1ª semana";"24/12/2018";"padaria";"2018-12-01";"2018-12-24"
"out back almoço";"63.54";0;1;0;"01/06/2018";"1ª semana";"05/06/2018";"alimentação";"2018-06-01";"2018-06-05"
"otica";10;0;1;0;"01/06/2018";"3ª semana";"29/06/2018";"compras";"2018-06-01";"2018-06-29"
"ontem tudo";19;0;1;0;"01/03/2018";"3ª semana";"26/03/2018";"compras";"2018-03-01";"2018-03-26"
"oif";"7.76";0;1;0;"01/01/2018";"1ª semana";"02/01/2018";"banco";"2018-01-01";"2018-01-02"
"oculos nayana";99;0;1;0;"01/12/2018";"1ª semana";"18/12/2018";"compras";"2018-12-01";"2018-12-18"
"nossa depois";"9.4";0;1;0;"01/01/2018";"3ª semana";"20/01/2018";"alimentação";"2018-01-01";"2018-01-20"
"ngb";15;0;1;0;"01/11/2018";"1ª semana";"30/11/2018";"alimentação";"2018-11-01";"2018-11-30"
"net 11/2018";"235.78";1;0;0;"01/12/2018";"1ª semana";"01/12/2018";"moradia";"2018-12-01";"2018-12-01"
"net";"199.8";1;0;0;"01/01/2018";"1ª semana";"05/01/2018";"moradia";"2018-01-01";"2018-01-05"
"net";"199.8";1;0;0;"01/02/2018";"2ª semana";"09/02/2018";"moradia";"2018-02-01";"2018-02-09"
"net";"199.8";1;0;0;"01/03/2018";"1ª semana";"13/03/2018";"moradia";"2018-03-01";"2018-03-13"
"net";"203.05";1;0;0;"01/04/2018";"1ª semana";"03/04/2018";"moradia";"2018-04-01";"2018-04-03"
"net";"199.8";1;0;0;"01/05/2018";"1ª semana";"10/05/2018";"moradia";"2018-05-01";"2018-05-10"
"net";"199.8";1;0;0;"01/06/2018";"2ª semana";"11/06/2018";"moradia";"2018-06-01";"2018-06-11"
"net";"207.25";1;0;0;"01/07/2018";"1ª semana";"10/07/2018";"moradia";"2018-07-01";"2018-07-10"
"net";"214.7";1;0;0;"01/08/2018";"1ª semana";"06/08/2018";"moradia";"2018-08-01";"2018-08-06"
"net";"214.7";1;0;0;"01/10/2018";"1ª semana";"31/10/2018";"moradia";"2018-10-01";"2018-10-31"
"net";"229.6";1;0;0;"01/10/2018";"1ª semana";"01/10/2018";"moradia";"2018-10-01";"2018-10-01"
"net";"261.19";1;0;0;"01/12/2018";"1ª semana";"01/12/2018";"moradia";"2018-12-01";"2018-12-01"
"nakata - boloacha";9;0;1;0;"01/05/2018";"4ª semana";"24/05/2018";"alimentação";"2018-05-01";"2018-05-24"
"nakata";"6.5";0;1;0;"01/02/2018";"3ª semana";"11/02/2018";"alimentação";"2018-02-01";"2018-02-11"
"mult";"1.8";0;1;0;"01/12/2018";"1ª semana";"08/12/2018";"alimentação";"2018-12-01";"2018-12-08"
"mullequinho";"4.5";0;1;0;"01/08/2018";"1ª semana";"03/08/2018";"alimentação";"2018-08-01";"2018-08-03"
"mulequinho";"4.5";0;1;0;"01/07/2018";"1ª semana";"06/07/2018";"alimentação";"2018-07-01";"2018-07-06"
"mr jj hor";"1.98";0;1;0;"01/12/2018";"1ª semana";"05/12/2018";"alimentação";"2018-12-01";"2018-12-05"
"movel";24;0;1;0;"01/08/2018";"1ª semana";"06/08/2018";"alimentação";"2018-08-01";"2018-08-06"
"mix tudo";55;0;1;0;"01/03/2018";"2ª semana";"14/03/2018";"alimentação";"2018-03-01";"2018-03-14"
"mix tudo";35;0;1;0;"01/12/2018";"1ª semana";"08/12/2018";"alimentação";"2018-12-01";"2018-12-08"
"mistura";"40.52";0;1;0;"01/04/2018";"3ª semana";"20/04/2018";"alimentação";"2018-04-01";"2018-04-20"
"mistura";"28.8";0;1;0;"01/08/2018";"2ª semana";"13/08/2018";"alimentação";"2018-08-01";"2018-08-13"
"mistura";10;0;1;0;"01/08/2018";"2ª semana";"13/08/2018";"alimentação";"2018-08-01";"2018-08-13"
"minuto pao";"4.34";0;1;0;"01/07/2018";"1ª semana";"04/07/2018";"alimentação";"2018-07-01";"2018-07-04"
"minuto pao";"30.53";0;1;0;"01/12/2018";"1ª semana";"14/12/2018";"alimentação";"2018-12-01";"2018-12-14"
"mineiro dog";"9.27";0;1;0;"01/07/2018";"4ª semana";"27/07/2018";"alimentação";"2018-07-01";"2018-07-27"
"milho";6;0;1;0;"01/07/2018";"2ª semana";"11/07/2018";"alimentação";"2018-07-01";"2018-07-11"
"milho";6;0;1;0;"01/09/2018";"2ª semana";"06/09/2018";"alimentação";"2018-09-01";"2018-09-06"
"milho";5;0;1;0;"01/09/2018";"3ª semana";"18/09/2018";"alimentação";"2018-09-01";"2018-09-18"
"milho";3;0;1;0;"01/09/2018";"4ª semana";"26/09/2018";"alimentação";"2018-09-01";"2018-09-26"
"michelle";20;0;1;0;"01/05/2018";"2ª semana";"06/05/2018";"compras";"2018-05-01";"2018-05-06"
"michelle";46;0;1;0;"01/06/2018";"1ª semana";"08/06/2018";"michelle";"2018-06-01";"2018-06-08"
"michelle";10;0;1;0;"01/06/2018";"3ª semana";"30/06/2018";"michelle";"2018-06-01";"2018-06-30"
"metro";20;0;1;0;"01/12/2018";"1ª semana";"09/12/2018";"transporte";"2018-12-01";"2018-12-09"
"mercado car";"19.99";0;1;0;"01/06/2018";"1ª semana";"09/06/2018";"carro";"2018-06-01";"2018-06-09"
"mercado";"6.78";0;1;0;"01/01/2018";"1ª semana";"26/12/2017";"mercado";"2018-01-01";"2017-12-26"
"mercado";"16.9";0;1;0;"01/01/2018";"2ª semana";"12/01/2018";"mercado";"2018-01-01";"2018-01-12"
"mercado";"39.14";0;1;0;"01/01/2018";"2ª semana";"13/01/2018";"mercado";"2018-01-01";"2018-01-13"
"mercado";"30.26";0;1;0;"01/01/2018";"2ª semana";"13/01/2018";"mercado";"2018-01-01";"2018-01-13"
"mercado";"22.35";0;1;0;"01/01/2018";"2ª semana";"14/01/2018";"mercado";"2018-01-01";"2018-01-14"
"mercado";5;0;1;0;"01/01/2018";"2ª semana";"14/01/2018";"mercado";"2018-01-01";"2018-01-14"
"mercado";"14.94";0;1;0;"01/01/2018";"3ª semana";"15/01/2018";"mercado";"2018-01-01";"2018-01-15"
"mercado";5;0;1;0;"01/01/2018";"2ª semana";"14/01/2018";"mercado";"2018-01-01";"2018-01-14"
"mercado";"21.5";0;1;0;"01/01/2018";"3ª semana";"20/01/2018";"mercado";"2018-01-01";"2018-01-20"
"mercado";"16.07";0;1;0;"01/01/2018";"3ª semana";"21/01/2018";"mercado";"2018-01-01";"2018-01-21"
"mercado";"16.07";0;1;0;"01/01/2018";"3ª semana";"22/01/2018";"mercado";"2018-01-01";"2018-01-22"
"mercado";"6.52";0;1;0;"01/02/2018";"1ª semana";"01/02/2018";"mercado";"2018-02-01";"2018-02-01"
"mercado";"6.5";0;1;0;"01/02/2018";"2ª semana";"08/02/2018";"mercado";"2018-02-01";"2018-02-08"
"mercado";"80.29";0;1;0;"01/02/2018";"3ª semana";"11/02/2018";"mercado";"2018-02-01";"2018-02-11"
"mercado";"32.03";0;1;0;"01/02/2018";"3ª semana";"12/02/2018";"mercado";"2018-02-01";"2018-02-12"
"mercado";"14.52";0;1;0;"01/02/2018";"3ª semana";"12/02/2018";"mercado";"2018-02-01";"2018-02-12"
"mercado";"7.94";0;1;0;"01/02/2018";"3ª semana";"12/02/2018";"mercado";"2018-02-01";"2018-02-12"
"mercado";3;0;1;0;"01/02/2018";"3ª semana";"13/02/2018";"mercado";"2018-02-01";"2018-02-13"
"mercado";"34.15";0;1;0;"01/02/2018";"3ª semana";"13/02/2018";"mercado";"2018-02-01";"2018-02-13"
"mercado";"24.1";0;1;0;"01/02/2018";"4ª semana";"19/02/2018";"mercado";"2018-02-01";"2018-02-19"
"mercado";"178.34";0;1;0;"01/02/2018";"4ª semana";"20/02/2018";"mercado";"2018-02-01";"2018-02-20"
"mercado";"18.35";0;1;0;"01/02/2018";"4ª semana";"20/02/2018";"mercado";"2018-02-01";"2018-02-20"
"mercado";10;0;1;0;"01/03/2018";"2ª semana";"11/03/2018";"mercado";"2018-03-01";"2018-03-11"
"mercado";"27.46";0;1;0;"01/03/2018";"2ª semana";"10/03/2018";"mercado";"2018-03-01";"2018-03-10"
"mercado";"116.68";0;1;0;"01/03/2018";"2ª semana";"13/03/2018";"mercado";"2018-03-01";"2018-03-13"
"mercado";"29.7";0;1;0;"01/03/2018";"2ª semana";"16/03/2018";"mercado";"2018-03-01";"2018-03-16"
"mercado";"10.18";0;1;0;"01/03/2018";"3ª semana";"19/03/2018";"mercado";"2018-03-01";"2018-03-19"
"mercado";"3.79";0;1;0;"01/03/2018";"2ª semana";"15/03/2018";"mercado";"2018-03-01";"2018-03-15"
"mercado";"33.29";0;1;0;"01/03/2018";"3ª semana";"23/03/2018";"mercado";"2018-03-01";"2018-03-23"
"mercado";"20.57";0;1;0;"01/04/2018";"2ª semana";"09/04/2018";"mercado";"2018-04-01";"2018-04-09"
"mercado";"17.4";0;1;0;"01/04/2018";"2ª semana";"09/04/2018";"mercado";"2018-04-01";"2018-04-09"
"mercado";"15.94";0;1;0;"01/04/2018";"3ª semana";"16/04/2018";"mercado";"2018-04-01";"2018-04-16"
"mercado";"110.73";0;1;0;"01/04/2018";"3ª semana";"29/04/2018";"mercado";"2018-04-01";"2018-04-29"
"mercado";"175.81";0;1;0;"01/05/2018";"2ª semana";"08/05/2018";"mercado";"2018-05-01";"2018-05-08"
"mercado";"13.57";0;1;0;"01/05/2018";"3ª semana";"14/05/2018";"mercado";"2018-05-01";"2018-05-14"
"mercado";"26.17";0;1;0;"01/05/2018";"3ª semana";"15/05/2018";"mercado";"2018-05-01";"2018-05-15"
"mercado";"40.17";0;1;0;"01/05/2018";"4ª semana";"21/05/2018";"mercado";"2018-05-01";"2018-05-21"
"mercado";"5.39";0;1;0;"01/05/2018";"4ª semana";"23/05/2018";"mercado";"2018-05-01";"2018-05-23"
"mercado";"28.13";0;1;0;"01/05/2018";"4ª semana";"25/05/2018";"mercado";"2018-05-01";"2018-05-25"
"mercado";"9.84";0;1;0;"01/05/2018";"5ª semana";"28/05/2018";"mercado";"2018-05-01";"2018-05-28"
"mercado";"49.55";0;1;0;"01/05/2018";"5ª semana";"28/05/2018";"mercado";"2018-05-01";"2018-05-28"
"mercado";"15.67";0;1;0;"01/06/2018";"1ª semana";"07/06/2018";"mercado";"2018-06-01";"2018-06-07"
"mercado";"30.82";0;1;0;"01/06/2018";"1ª semana";"10/06/2018";"mercado";"2018-06-01";"2018-06-10"
"mercado";"49.7";0;1;0;"01/06/2018";"2ª semana";"15/06/2018";"mercado";"2018-06-01";"2018-06-15"
"mercado";"72.6";0;1;0;"01/06/2018";"3ª semana";"22/06/2018";"mercado";"2018-06-01";"2018-06-22"
"mercado";"51.58";0;1;0;"01/06/2018";"3ª semana";"24/06/2018";"mercado";"2018-06-01";"2018-06-24"
"mercado";"28.46";0;1;0;"01/06/2018";"3ª semana";"27/06/2018";"mercado";"2018-06-01";"2018-06-27"
"mercado";"18.47";0;1;0;"01/07/2018";"1ª semana";"07/07/2018";"mercado";"2018-07-01";"2018-07-07"
"mercado";"27.44";0;1;0;"01/07/2018";"3ª semana";"17/07/2018";"mercado";"2018-07-01";"2018-07-17"
"mercado";"2.25";0;1;0;"01/07/2018";"5ª semana";"30/07/2018";"mercado";"2018-07-01";"2018-07-30"
"mercado";"5.1";0;1;0;"01/08/2018";"1ª semana";"02/08/2018";"mercado";"2018-08-01";"2018-08-02"
"mercado";"20.54";0;1;0;"01/08/2018";"1ª semana";"10/08/2018";"mercado";"2018-08-01";"2018-08-10"
"mercado";"17.54";0;1;0;"01/08/2018";"2ª semana";"13/08/2018";"mercado";"2018-08-01";"2018-08-13"
"mercado";"10.77";0;1;0;"01/08/2018";"2ª semana";"13/08/2018";"mercado";"2018-08-01";"2018-08-13"
"mercado";"230.65";0;1;0;"01/08/2018";"2ª semana";"15/08/2018";"mercado";"2018-08-01";"2018-08-15"
"mercado";"13.45";0;1;0;"01/08/2018";"2ª semana";"15/08/2018";"mercado";"2018-08-01";"2018-08-15"
"mercado";"4.49";0;1;0;"01/08/2018";"3ª semana";"24/08/2018";"mercado";"2018-08-01";"2018-08-24"
"mercado";"38.53";0;1;0;"01/09/2018";"2ª semana";"11/09/2018";"mercado";"2018-09-01";"2018-09-11"
"mercado";"11.53";0;1;0;"01/09/2018";"2ª semana";"12/09/2018";"mercado";"2018-09-01";"2018-09-12"
"mercado";"13.84";0;1;0;"01/09/2018";"3ª semana";"20/09/2018";"mercado";"2018-09-01";"2018-09-20"
"mercado";"14.9";0;1;0;"01/09/2018";"4ª semana";"25/09/2018";"mercado";"2018-09-01";"2018-09-25"
"mercado";"30.53";0;1;0;"01/09/2018";"4ª semana";"25/09/2018";"mercado";"2018-09-01";"2018-09-25"
"mercado";"17.93";0;1;0;"01/10/2018";"1ª semana";"08/10/2018";"mercado";"2018-10-01";"2018-10-08"
"mercado";"5.9";0;1;0;"01/10/2018";"1ª semana";"08/10/2018";"mercado";"2018-10-01";"2018-10-08"
"mercado";"6.5";0;1;0;"01/10/2018";"1ª semana";"08/10/2018";"mercado";"2018-10-01";"2018-10-08"
"mercado";"3.29";0;1;0;"01/10/2018";"1ª semana";"08/10/2018";"mercado";"2018-10-01";"2018-10-08"
"mercado";"14.74";0;1;0;"01/10/2018";"1ª semana";"08/10/2018";"mercado";"2018-10-01";"2018-10-08"
"mercado";"292.97";0;1;0;"01/10/2018";"1ª semana";"09/10/2018";"mercado";"2018-10-01";"2018-10-09"
"mercado";"15.07";0;1;0;"01/10/2018";"1ª semana";"09/10/2018";"mercado";"2018-10-01";"2018-10-09"
"mercado";"9.7";0;1;0;"01/10/2018";"1ª semana";"15/10/2018";"mercado";"2018-10-01";"2018-10-15"
"mercado";"50.13";0;1;0;"01/10/2018";"1ª semana";"15/10/2018";"mercado";"2018-10-01";"2018-10-15"
"mercado";"29.86";0;1;0;"01/10/2018";"1ª semana";"17/10/2018";"mercado";"2018-10-01";"2018-10-17"
"mercado";"42.11";0;1;0;"01/10/2018";"1ª semana";"18/10/2018";"mercado";"2018-10-01";"2018-10-18"
"mercado";"31.88";0;1;0;"01/10/2018";"1ª semana";"19/10/2018";"mercado";"2018-10-01";"2018-10-19"
"mercado";"24.44";0;1;0;"01/10/2018";"1ª semana";"19/10/2018";"mercado";"2018-10-01";"2018-10-19"
"mercado";146;0;1;0;"01/10/2018";"1ª semana";"22/10/2018";"mercado";"2018-10-01";"2018-10-22"
"mercado";"45.49";0;1;0;"01/10/2018";"1ª semana";"23/10/2018";"mercado";"2018-10-01";"2018-10-23"
"mercado";"22.87";0;1;0;"01/10/2018";"1ª semana";"23/10/2018";"mercado";"2018-10-01";"2018-10-23"
"mercado";"25.09";0;1;0;"01/10/2018";"1ª semana";"25/10/2018";"mercado";"2018-10-01";"2018-10-25"
"mercado";"24.9";0;1;0;"01/10/2018";"1ª semana";"26/10/2018";"mercado";"2018-10-01";"2018-10-26"
"mercado";"3.75";0;1;0;"01/10/2018";"1ª semana";"26/10/2018";"mercado";"2018-10-01";"2018-10-26"
"mercado";"14.9";0;1;0;"01/10/2018";"1ª semana";"30/10/2018";"mercado";"2018-10-01";"2018-10-30"
"mercado";"5.5";0;1;0;"01/11/2018";"1ª semana";"05/11/2018";"mercado";"2018-11-01";"2018-11-05"
"mercado";"165.7";0;1;0;"01/11/2018";"1ª semana";"06/11/2018";"mercado";"2018-11-01";"2018-11-06"
"mercado";"8.56";0;1;0;"01/11/2018";"1ª semana";"08/11/2018";"mercado";"2018-11-01";"2018-11-08"
"mercado";"180.58";0;1;0;"01/11/2018";"1ª semana";"11/11/2018";"mercado";"2018-11-01";"2018-11-11"
"mercado";"20.65";0;1;0;"01/11/2018";"1ª semana";"11/11/2018";"mercado";"2018-11-01";"2018-11-11"
"mercado";"2.65";0;1;0;"01/11/2018";"1ª semana";"11/11/2018";"mercado";"2018-11-01";"2018-11-11"
"mercado";"50.13";0;1;0;"01/11/2018";"1ª semana";"19/11/2018";"mercado";"2018-11-01";"2018-11-19"
"mercado";20;0;1;0;"01/11/2018";"1ª semana";"21/11/2018";"mercado";"2018-11-01";"2018-11-21"
"mercado";"20.49";0;1;0;"01/11/2018";"1ª semana";"22/11/2018";"mercado";"2018-11-01";"2018-11-22"
"mercado";"36.44";0;1;0;"01/11/2018";"1ª semana";"26/11/2018";"mercado";"2018-11-01";"2018-11-26"
"mercado";21;0;1;0;"01/11/2018";"1ª semana";"27/11/2018";"mercado";"2018-11-01";"2018-11-27"
"mercado";"37.89";0;1;0;"01/11/2018";"1ª semana";"28/11/2018";"mercado";"2018-11-01";"2018-11-28"
"mercado";"3.69";0;1;0;"01/12/2018";"1ª semana";"03/12/2018";"mercado";"2018-12-01";"2018-12-03"
"mercado";"48.49";0;1;0;"01/12/2018";"1ª semana";"04/12/2018";"mercado";"2018-12-01";"2018-12-04"
"mercado";"33.54";0;1;0;"01/12/2018";"1ª semana";"08/12/2018";"mercado";"2018-12-01";"2018-12-08"
"mercado";"35.34";0;1;0;"01/12/2018";"1ª semana";"08/12/2018";"mercado";"2018-12-01";"2018-12-08"
"mercado";"210.14";0;1;0;"01/12/2018";"1ª semana";"09/12/2018";"mercado";"2018-12-01";"2018-12-09"
"mercado";"7.5";0;1;0;"01/12/2018";"1ª semana";"09/12/2018";"mercado";"2018-12-01";"2018-12-09"
"mercado";"53.96";0;1;0;"01/12/2018";"1ª semana";"13/12/2018";"mercado";"2018-12-01";"2018-12-13"
"mercado";"4.49";0;1;0;"01/12/2018";"1ª semana";"13/12/2018";"mercado";"2018-12-01";"2018-12-13"
"mercado";17;0;1;0;"01/12/2018";"1ª semana";"14/12/2018";"mercado";"2018-12-01";"2018-12-14"
"mercado";"22.85";0;1;0;"01/12/2018";"1ª semana";"16/12/2018";"mercado";"2018-12-01";"2018-12-16"
"mercado";"7.51";0;1;0;"01/12/2018";"1ª semana";"16/12/2018";"mercado";"2018-12-01";"2018-12-16"
"mercado";"17.08";0;1;0;"01/12/2018";"1ª semana";"17/12/2018";"mercado";"2018-12-01";"2018-12-17"
"mercado";"96.85";0;1;0;"01/12/2018";"1ª semana";"24/12/2018";"mercado";"2018-12-01";"2018-12-24"
"mercado";"20.69";0;1;0;"01/12/2018";"1ª semana";"26/12/2018";"mercado";"2018-12-01";"2018-12-26"
"mercado";"11.74";0;1;0;"01/12/2018";"1ª semana";"28/12/2018";"mercado";"2018-12-01";"2018-12-28"
"meracdo";"10.55";0;1;0;"01/11/2018";"1ª semana";"05/11/2018";"mercado";"2018-11-01";"2018-11-05"
"mc donalds";"15.9";0;1;0;"01/01/2018";"3ª semana";"16/01/2018";"alimentação";"2018-01-01";"2018-01-16"
"mc donalds";17;0;1;0;"01/02/2018";"4ª semana";"20/02/2018";"alimentação";"2018-02-01";"2018-02-20"
"mc donalds";"7.5";0;1;0;"01/03/2018";"2ª semana";"05/03/2018";"alimentação";"2018-03-01";"2018-03-05"
"mc donalds";"22.4";0;1;0;"01/03/2018";"2ª semana";"08/03/2018";"alimentação";"2018-03-01";"2018-03-08"
"mc donalds";12;0;1;0;"01/04/2018";"2ª semana";"13/04/2018";"alimentação";"2018-04-01";"2018-04-13"
"mc donalds";"29.9";0;1;0;"01/04/2018";"3ª semana";"24/04/2018";"alimentação";"2018-04-01";"2018-04-24"
"mc donalds";"19.9";0;1;0;"01/05/2018";"1ª semana";"05/05/2018";"alimentação";"2018-05-01";"2018-05-05"
