"custo";"valor_custo";"flag_fixo";"flag_variavel";"flag_pendente";"flag_investimento";"data_base";"data_custo";"tipo_custo";"dt_pagto_bq";"dt_custo_bq"
"shop";"17.9";0;1;0;0;"01/07/2019";"22/07/2019";"alimentação";"2019-07-01";"2019-07-22"
"suco";"4.5";0;1;0;0;"01/07/2019";"22/07/2019";"alimentação";"2019-07-01";"2019-07-22"
"lojas americanas";"8.98";0;1;0;0;"01/07/2019";"22/07/2019";"alimentação";"2019-07-01";"2019-07-22"
"almoço";18;0;1;0;0;"01/07/2019";"22/07/2019";"alimentação";"2019-07-01";"2019-07-22"
"café";"2.5";0;1;0;0;"01/07/2019";"22/07/2019";"alimentação";"2019-07-01";"2019-07-22"
"doces";45;0;1;0;0;"01/07/2019";"22/07/2019";"alimentação";"2019-07-01";"2019-07-22"
"farmacia";"36.62";0;1;0;0;"01/07/2019";"22/07/2019";"farmacia";"2019-07-01";"2019-07-22"
"mais";20;0;1;0;0;"01/07/2019";"22/07/2019";"alimentação";"2019-07-01";"2019-07-22"
"lanchonete";5;0;1;0;0;"01/07/2019";"23/07/2019";"alimentação";"2019-07-01";"2019-07-23"
"gasolina";"77.98";0;1;0;0;"01/07/2019";"23/07/2019";"carro";"2019-07-01";"2019-07-23"
"mercadinho";"10.9";0;1;0;0;"01/07/2019";"24/07/2019";"mercado";"2019-07-01";"2019-07-24"
"mercado";"184.64";0;1;0;0;"01/07/2019";"24/07/2019";"mercado";"2019-07-01";"2019-07-24"
"dia brasil";"4.99";0;1;0;0;"01/07/2019";"25/07/2019";"alimentação";"2019-07-01";"2019-07-25"
"saque";100;0;1;0;0;"01/07/2019";"26/07/2019";"saque";"2019-07-01";"2019-07-26"
"angelica";15;0;1;0;0;"01/07/2019";"26/07/2019";"alimentação";"2019-07-01";"2019-07-26"
"pizzaria";"61.19";0;1;0;0;"01/07/2019";"26/07/2019";"alimentação";"2019-07-01";"2019-07-26"
"log";3;0;1;0;0;"01/07/2019";"26/07/2019";"alimentação";"2019-07-01";"2019-07-26"
"arizona";"20.3";0;1;0;0;"01/07/2019";"26/07/2019";"padaria";"2019-07-01";"2019-07-26"
"casa esfiha";"22.4";0;1;0;0;"01/07/2019";"29/07/2019";"alimentação";"2019-07-01";"2019-07-29"
"century";"21.86";0;1;0;0;"01/07/2019";"29/07/2019";"compras";"2019-07-01";"2019-07-29"
"sorvete";"11.25";0;1;0;0;"01/07/2019";"29/07/2019";"alimentação";"2019-07-01";"2019-07-29"
"padaria";"26.38";0;1;0;0;"01/07/2019";"29/07/2019";"padaria";"2019-07-01";"2019-07-29"
"mercadinho";37;0;1;0;0;"01/07/2019";"29/07/2019";"mercado";"2019-07-01";"2019-07-29"
"kilica";34;0;1;0;0;"01/07/2019";"29/07/2019";"compras";"2019-07-01";"2019-07-29"
"gasolina";"204.5";0;1;0;0;"01/07/2019";"29/07/2019";"carro";"2019-07-01";"2019-07-29"
"promofarma";"58.22";0;1;0;0;"01/07/2019";"29/07/2019";"farmacia";"2019-07-01";"2019-07-29"
"ravioli";"52.44";0;1;0;0;"01/07/2019";"29/07/2019";"alimentação";"2019-07-01";"2019-07-29"
"ravioli";"59.06";0;1;0;0;"01/07/2019";"29/07/2019";"alimentação";"2019-07-01";"2019-07-29"
"mercado";"3.47";0;1;0;0;"01/07/2019";"30/07/2019";"mercado";"2019-07-01";"2019-07-30"
"investimento";3000;0;0;0;1;"01/07/2019";"31/07/2019";"investimento";"2019-07-01";"2019-07-31"
"taxa conta corrente";"76.9";1;0;0;0;"01/08/2019";"02/08/2019";"banco";"2019-08-01";"2019-08-02"
"cartão de credito";"1278.06";0;1;0;0;"01/08/2019";"16/08/2019";"cartão credito";"2019-08-01";"2019-08-16"
"portoseguro";"229.79";1;0;0;0;"01/08/2019";"16/08/2019";"cartão credito";"2019-08-01";"2019-08-16"
"sptransp";330;1;0;0;0;"01/08/2019";"19/08/2019";"transporte";"2019-08-01";"2019-08-19"
"SEGURO CARTÃO";"6.41";1;0;0;0;"01/08/2019";"12/08/2019";"banco";"2019-08-01";"2019-08-12"
"UNICEF";75;1;0;0;0;"01/08/2019";"12/08/2019";"doação";"2019-08-01";"2019-08-12"
"seminario mensalidade";"250.59";1;0;0;0;"01/08/2019";"16/08/2019";"seminario";"2019-08-01";"2019-08-16"
"seguro carro";"187.87";1;0;0;0;"01/08/2019";"16/08/2019";"carro";"2019-08-01";"2019-08-16"
"bk kids";"383.22";0;1;0;0;"01/08/2019";"16/08/2019";"compras";"2019-08-01";"2019-08-16"
"promofarma";"31.45";0;1;0;0;"01/08/2019";"01/08/2019";"farmacia";"2019-08-01";"2019-08-01"
"telo";"3.5";0;1;0;0;"01/08/2019";"01/08/2019";"alimentação";"2019-08-01";"2019-08-01"
"gilvandro";6;0;1;0;0;"01/08/2019";"02/08/2019";"alimentação";"2019-08-01";"2019-08-02"
"andre";15;0;1;0;0;"01/08/2019";"02/08/2019";"alimentação";"2019-08-01";"2019-08-02"
"espetinho";8;0;1;0;0;"01/08/2019";"02/08/2019";"alimentação";"2019-08-01";"2019-08-02"
"velox";"8.5";0;1;0;0;"01/08/2019";"02/08/2019";"compras";"2019-08-01";"2019-08-02"
"andorinha";"29.32";0;1;0;0;"01/08/2019";"03/08/2019";"mercado";"2019-08-01";"2019-08-03"
"drogaria";"35.99";0;1;0;0;"01/08/2019";"03/08/2019";"farmacia";"2019-08-01";"2019-08-03"
"americanas presente";"8.28";0;1;0;0;"01/08/2019";"04/08/2019";"compras";"2019-08-01";"2019-08-04"
"padaria";"4.31";0;1;0;0;"01/08/2019";"04/08/2019";"padaria";"2019-08-01";"2019-08-04"
"suco";"5.5";0;1;0;0;"01/08/2019";"05/08/2019";"alimentação";"2019-08-01";"2019-08-05"
"bolacha";"3.18";0;1;0;0;"01/08/2019";"05/08/2019";"alimentação";"2019-08-01";"2019-08-05"
"mc donalds ";"30.5";0;1;0;0;"01/08/2019";"05/08/2019";"alimentação";"2019-08-01";"2019-08-05"
"nextel";"55.99";0;1;0;0;"01/08/2019";"06/08/2019";"compras";"2019-08-01";"2019-08-06"
"nextel";"65.99";0;1;0;0;"01/08/2019";"06/08/2019";"compras";"2019-08-01";"2019-08-06"
"café";16;0;1;0;0;"01/08/2019";"06/08/2019";"alimentação";"2019-08-01";"2019-08-06"
"gasolina";"87.98";0;1;0;0;"01/08/2019";"08/08/2019";"carro";"2019-08-01";"2019-08-08"
"ragazzo";"43.23";0;1;0;0;"01/08/2019";"08/08/2019";"compras";"2019-08-01";"2019-08-08"
"advogado";500;0;1;0;0;"01/08/2019";"08/08/2019";"alimentação";"2019-08-01";"2019-08-08"
"mercadinho";4;0;1;0;0;"01/08/2019";"12/08/2019";"mercado";"2019-08-01";"2019-08-12"
"café";"2.75";0;1;0;0;"01/08/2019";"12/08/2019";"alimentação";"2019-08-01";"2019-08-12"
"mercadinho";12;0;1;0;0;"01/08/2019";"12/08/2019";"mercado";"2019-08-01";"2019-08-12"
"café";10;0;1;0;0;"01/08/2019";"12/08/2019";"alimentação";"2019-08-01";"2019-08-12"
"mercadinho";"5.95";0;1;0;0;"01/08/2019";"12/08/2019";"mercado";"2019-08-01";"2019-08-12"
"chocolates";10;0;1;0;0;"01/08/2019";"12/08/2019";"alimentação";"2019-08-01";"2019-08-12"
"mc donalds";"2.5";0;1;0;0;"01/08/2019";"12/08/2019";"alimentação";"2019-08-01";"2019-08-12"
"retro";4;0;1;0;0;"01/08/2019";"12/08/2019";"compras";"2019-08-01";"2019-08-12"
"rp silva";7;0;1;0;0;"01/08/2019";"12/08/2019";"compras";"2019-08-01";"2019-08-12"
"sodexo";"7.1";0;1;0;0;"01/08/2019";"12/08/2019";"compras";"2019-08-01";"2019-08-12"
"investimento";0;0;0;0;1;"01/08/2019";"31/08/2019";"investimento";"2019-08-01";"2019-08-31"
"acai metro";"14.9";0;1;0;0;"01/08/2019";"14/08/2019";"compras";"2019-08-01";"2019-08-14"
"café";"7.1";0;1;0;0;"01/08/2019";"14/08/2019";"compras";"2019-08-01";"2019-08-14"
"cha bebe";16;0;1;0;0;"01/08/2019";"14/08/2019";"compras";"2019-08-01";"2019-08-14"
"café";13;0;1;0;0;"01/08/2019";"15/08/2019";"compras";"2019-08-01";"2019-08-15"
"promofarma";"95.78";0;1;0;0;"01/08/2019";"15/08/2019";"farmacia";"2019-08-01";"2019-08-15"
"mercadinho";"4.7";0;1;0;0;"01/08/2019";"15/08/2019";"mercado";"2019-08-01";"2019-08-15"
"emprestimo";300;0;1;0;0;"01/08/2019";"19/08/2019";"emprestimo";"2019-08-01";"2019-08-19"
"padaria";"10.9";0;1;0;0;"01/08/2019";"19/08/2019";"padaria";"2019-08-01";"2019-08-19"
"habib’s";"29.74";0;1;0;0;"01/08/2019";"19/08/2019";"alimentação";"2019-08-01";"2019-08-19"
"lanche";6;0;1;0;0;"01/08/2019";"19/08/2019";"alimentação";"2019-08-01";"2019-08-19"
"pizzaria";12;0;1;0;0;"01/08/2019";"19/08/2019";"alimentação";"2019-08-01";"2019-08-19"
"promofarma";"19.79";0;1;0;0;"01/08/2019";"19/08/2019";"farmacia";"2019-08-01";"2019-08-19"
"promofarma";"31.67";0;1;0;0;"01/08/2019";"19/08/2019";"farmacia";"2019-08-01";"2019-08-19"
"suco";5;0;1;0;0;"01/08/2019";"19/08/2019";"alimentação";"2019-08-01";"2019-08-19"
"andorinha";"144.89";0;1;0;0;"01/08/2019";"20/08/2019";"mercado";"2019-08-01";"2019-08-20"
"andorinha";"0.79";0;1;0;0;"01/08/2019";"20/08/2019";"mercado";"2019-08-01";"2019-08-20"
"promofarma";"22.72";0;1;0;0;"01/08/2019";"20/08/2019";"alimentação";"2019-08-01";"2019-08-20"
"feira";"24.85";0;1;0;0;"01/08/2019";"22/08/2019";"feira";"2019-08-01";"2019-08-22"
"promofarma";"29.9";0;1;0;0;"01/08/2019";"22/08/2019";"farmacia";"2019-08-01";"2019-08-22"
"saque";100;0;1;0;0;"01/08/2019";"26/08/2019";"igreja";"2019-08-01";"2019-08-26"
"pão";"15.65";0;1;0;0;"01/08/2019";"26/08/2019";"padaria";"2019-08-01";"2019-08-26"
"feijoada";48;0;1;0;0;"01/08/2019";"26/08/2019";"alimentação";"2019-08-01";"2019-08-26"
"lojas americanas";"40.96";0;1;0;0;"01/08/2019";"26/08/2019";"mercado";"2019-08-01";"2019-08-26"
"feira";"9.5";0;1;0;0;"01/08/2019";"26/08/2019";"feira";"2019-08-01";"2019-08-26"
"massa";30;0;1;0;0;"01/08/2019";"26/08/2019";"alimentação";"2019-08-01";"2019-08-26"
"feira";25;0;1;0;0;"01/08/2019";"26/08/2019";"feira";"2019-08-01";"2019-08-26"
"pizzaria";"36.9";0;1;0;0;"01/08/2019";"26/08/2019";"alimentação";"2019-08-01";"2019-08-26"
"as";21;0;1;0;0;"01/08/2019";"26/08/2019";"compras";"2019-08-01";"2019-08-26"
"sandro";21;0;1;0;0;"01/08/2019";"26/08/2019";"cabeleireiro";"2019-08-01";"2019-08-26"
"agua";"5.5";0;1;0;0;"01/08/2019";"26/08/2019";"alimentação";"2019-08-01";"2019-08-26"
"mercado";"50.32";0;1;0;0;"01/08/2019";"26/08/2019";"mercado";"2019-08-01";"2019-08-26"
"mecado";"45.94";0;1;0;0;"01/08/2019";"26/08/2019";"mercado";"2019-08-01";"2019-08-26"
"café";7;0;1;0;0;"01/08/2019";"27/08/2019";"alimentação";"2019-08-01";"2019-08-27"
"cartão igreja";85;0;1;0;0;"01/08/2019";"27/08/2019";"compras";"2019-08-01";"2019-08-27"
"acai metro";"14.9";0;1;0;0;"01/08/2019";"27/08/2019";"alimentação";"2019-08-01";"2019-08-27"
"michelle";0;0;1;1;0;"01/08/2019";"30/08/2019";"michelle";"2019-08-01";"2019-08-30"
"igreja";1000;0;1;0;0;"01/08/2019";"30/08/2019";"igreja";"2019-08-01";"2019-08-30"
"suco";"5.5";0;1;0;0;"01/08/2019";"28/08/2019";"alimentação";"2019-08-01";"2019-08-28"
"mercadinho";"7.9";0;1;0;0;"01/08/2019";"29/08/2019";"mercado";"2019-08-01";"2019-08-29"
"empada café";"10.6";0;1;0;0;"01/08/2019";"30/08/2019";"alimentação";"2019-08-01";"2019-08-30"
"emporio";11;0;1;0;0;"01/08/2019";"30/08/2019";"alimentação";"2019-08-01";"2019-08-30"
"suco";"4.5";0;1;0;0;"01/08/2019";"30/08/2019";"alimentação";"2019-08-01";"2019-08-30"
"drogaraia";"3.77";0;1;0;0;"01/08/2019";"30/08/2019";"farmacia";"2019-08-01";"2019-08-30"
"café";"1.49";0;1;0;0;"01/08/2019";"30/08/2019";"mercado";"2019-08-01";"2019-08-30"
"mercado";30;0;1;0;0;"01/08/2019";"30/08/2019";"alimentação";"2019-08-01";"2019-08-30"
"lojas americanas";"18.98";0;1;0;0;"01/08/2019";"30/08/2019";"alimentação";"2019-08-01";"2019-08-30"
"taxa conta corrente";"76.9";1;0;0;0;"01/09/2019";"03/09/2019";"banco";"2019-09-01";"2019-09-03"
"cartão de credito";1500;0;1;0;0;"01/09/2019";"15/09/2019";"cartão credito";"2019-09-01";"2019-09-15"
"portoseguro";"424.79";1;0;0;0;"01/09/2019";"30/09/2019";"cartão credito";"2019-09-01";"2019-09-30"
"sptransp";330;1;0;0;0;"01/09/2019";"30/09/2019";"transporte";"2019-09-01";"2019-09-30"
"SEGURO CARTÃO";"6.41";1;0;0;0;"01/09/2019";"10/09/2019";"banco";"2019-09-01";"2019-09-10"
"UNICEF";75;1;0;0;0;"01/09/2019";"15/09/2019";"doação";"2019-09-01";"2019-09-15"
"seminario mensalidade";0;1;0;0;0;"01/09/2019";"30/09/2019";"seminario";"2019-09-01";"2019-09-30"
"investimento";1000;0;0;0;1;"01/09/2019";;"poupança";"2019-09-01";"2019-09-01"
"seguro carro";"187.87";1;0;0;0;"01/09/2019";"15/09/2019";"carro";"2019-09-01";"2019-09-15"
"bk kids";"383.22";0;1;0;0;"01/09/2019";"15/09/2019";"compras";"2019-09-01";"2019-09-15"
"almoço";"41.55";0;1;0;0;"01/09/2019";"02/09/2019";"alimentação";"2019-09-01";"2019-09-02"
"promofarma";"162.55";0;1;0;0;"01/09/2019";"02/09/2019";"farmacia";"2019-09-01";"2019-09-02"
"bergamais";"83.74";0;1;0;0;"01/09/2019";"02/09/2019";"mercado";"2019-09-01";"2019-09-02"
"dieta";"265.4";0;1;0;0;"01/09/2019";"03/09/2019";"compras";"2019-09-01";"2019-09-03"
"cartão igreja";85;0;1;0;0;"01/09/2019";"03/09/2019";"igreja";"2019-09-01";"2019-09-03"
"livro";59;0;1;0;0;"01/09/2019";"03/09/2019";"compras";"2019-09-01";"2019-09-03"
"tarifa ted internet";"10.5";0;1;0;0;"01/09/2019";"03/09/2019";"banco";"2019-09-01";"2019-09-03"
"nextel";"75.37";0;1;0;0;"01/09/2019";"04/09/2019";"celular";"2019-09-01";"2019-09-04"
"nextel";"56.14";0;1;0;0;"01/09/2019";"04/09/2019";"celular";"2019-09-01";"2019-09-04"
"americanas presente";"15.97";0;1;0;0;"01/09/2019";"04/09/2019";"compras";"2019-09-01";"2019-09-04"
"regian pere";15;0;1;0;0;"01/09/2019";"04/09/2019";"alimentação";"2019-09-01";"2019-09-04"
"michelle";1000;0;1;0;0;"01/09/2019";"05/09/2019";"compras";"2019-09-01";"2019-09-05"
"gasolina";"77.98";0;1;0;0;"01/09/2019";"05/09/2019";"carro";"2019-09-01";"2019-09-05"
"energetico";"6.99";0;1;0;0;"01/09/2019";"05/09/2019";"alimentação";"2019-09-01";"2019-09-05"
"pao arizona";"55.95";0;1;0;0;"01/09/2019";"06/09/2019";"padaria";"2019-09-01";"2019-09-06"
"mercadinho";"10.4";0;1;0;0;"01/09/2019";"07/09/2019";"mercado";"2019-09-01";"2019-09-07"
"churrascaria";"130.26";0;1;0;0;"01/09/2019";"07/09/2019";"alimentação";"2019-09-01";"2019-09-07"
"mercadinho";4;0;1;0;0;"01/09/2019";"07/09/2019";"mercado";"2019-09-01";"2019-09-07"
"gasolina";"77.98";0;1;0;0;"01/09/2019";"07/09/2019";"carro";"2019-09-01";"2019-09-07"
"drive";25;0;1;0;0;"01/09/2019";"07/09/2019";"alimentação";"2019-09-01";"2019-09-07"
"habibs";"7.9";0;1;0;0;"01/09/2019";"07/09/2019";"alimentação";"2019-09-01";"2019-09-07"
"arizoa";"3.82";0;1;0;0;"01/09/2019";"08/09/2019";"padaria";"2019-09-01";"2019-09-08"
"perfecs";5;0;1;0;0;"01/09/2019";"08/09/2019";"alimentação";"2019-09-01";"2019-09-08"
"sonda";"9.84";0;1;0;0;"01/09/2019";"08/09/2019";"mercado";"2019-09-01";"2019-09-08"
"drogaria";"10.5";0;1;0;0;"01/09/2019";"08/09/2019";"farmacia";"2019-09-01";"2019-09-08"
"stelo";20;0;1;0;0;"01/09/2019";"09/09/2019";"alimentação";"2019-09-01";"2019-09-09"
"esperanca";35;0;1;0;0;"01/09/2019";"09/09/2019";"alimentação";"2019-09-01";"2019-09-09"
"mercadinho";9;0;1;0;0;"01/09/2019";"09/09/2019";"mercado";"2019-09-01";"2019-09-09"
"arizona";"17.95";0;1;0;0;"01/09/2019";"09/09/2019";"padaria";"2019-09-01";"2019-09-09"
"gasolina";"156.09";0;1;0;0;"01/09/2019";"10/09/2019";"carro";"2019-09-01";"2019-09-10"
"almoço";"36.89";0;1;0;0;"01/09/2019";"10/09/2019";"alimentação";"2019-09-01";"2019-09-10"
"casa da esfiha";"27.99";0;1;0;0;"01/09/2019";"12/09/2019";"alimentação";"2019-09-01";"2019-09-12"
"drogaria";10;0;1;0;0;"01/09/2019";"12/09/2019";"farmacia";"2019-09-01";"2019-09-12"
"emporio";"20.57";0;1;0;0;"01/09/2019";"12/09/2019";"alimentação";"2019-09-01";"2019-09-12"
"emporio";"12.99";0;1;0;0;"01/09/2019";"12/09/2019";"alimentação";"2019-09-01";"2019-09-12"
"padaria";"14.98";0;1;0;0;"01/09/2019";"12/09/2019";"padaria";"2019-09-01";"2019-09-12"
"badej";"10.8";0;1;0;0;"01/09/2019";"12/09/2019";"alimentação";"2019-09-01";"2019-09-12"
"almoço hotel";"167.3";0;1;0;0;"01/09/2019";"12/09/2019";"compras";"2019-09-01";"2019-09-12"
"promofarma";"48.24";0;1;0;0;"01/09/2019";"13/09/2019";"farmacia";"2019-09-01";"2019-09-13"
"assai";"132.21";0;1;0;0;"01/09/2019";"13/09/2019";"mercado";"2019-09-01";"2019-09-13"
"mudança";100;0;1;0;0;"01/09/2019";"13/09/2019";"compras";"2019-09-01";"2019-09-13"
"padaria";"9.48";0;1;0;0;"01/09/2019";"16/09/2019";"padaria";"2019-09-01";"2019-09-16"
"gasolina";80;0;1;0;0;"01/09/2019";"16/09/2019";"carro";"2019-09-01";"2019-09-16"
"cachoera";49;0;1;0;0;"01/09/2019";"16/09/2019";"compras";"2019-09-01";"2019-09-16"
"mercado";"167.6";0;1;0;0;"01/09/2019";"16/09/2019";"mercado";"2019-09-01";"2019-09-16"
"drogaraia";"5.34";0;1;0;0;"01/09/2019";"16/09/2019";"farmacia";"2019-09-01";"2019-09-16"
"eletronica";37;0;1;0;0;"01/09/2019";"16/09/2019";"compras";"2019-09-01";"2019-09-16"
"fabiano";3;0;1;0;0;"01/09/2019";"16/09/2019";"compras";"2019-09-01";"2019-09-16"
"furacao";4;0;1;0;0;"01/09/2019";"16/09/2019";"compras";"2019-09-01";"2019-09-16"
"furacao";"51.5";0;1;0;0;"01/09/2019";"16/09/2019";"compras";"2019-09-01";"2019-09-16"
"ourinhos";"4.75";0;1;0;0;"01/09/2019";"16/09/2019";"mercado";"2019-09-01";"2019-09-16"
"comercio";"8.9";0;1;0;0;"01/09/2019";"16/09/2019";"compras";"2019-09-01";"2019-09-16"
"kilokid";20;0;1;0;0;"01/09/2019";"16/09/2019";"compras";"2019-09-01";"2019-09-16"
"ravioli";57;0;1;0;0;"01/09/2019";"16/09/2019";"compras";"2019-09-01";"2019-09-16"
"komesu";15;0;1;0;0;"01/09/2019";"16/09/2019";"compras";"2019-09-01";"2019-09-16"
"sonda";"10.98";0;1;0;0;"01/09/2019";"16/09/2019";"mercado";"2019-09-01";"2019-09-16"
"vicroshe";15;0;1;0;0;"01/09/2019";"16/09/2019";"compras";"2019-09-01";"2019-09-16"
"yumi";12;0;1;0;0;"01/09/2019";"16/09/2019";"compras";"2019-09-01";"2019-09-16"
"mc donalds";"19.5";0;1;0;0;"01/09/2019";"17/09/2019";"alimentação";"2019-09-01";"2019-09-17"
"assai";"118.94";0;1;0;0;"01/09/2019";"18/09/2019";"mercado";"2019-09-01";"2019-09-18"
"mix";"36.99";0;1;0;0;"01/09/2019";"18/09/2019";"alimentação";"2019-09-01";"2019-09-18"
"armfran";"2.72";0;1;0;0;"01/09/2019";"18/09/2019";"compras";"2019-09-01";"2019-09-18"
"gasolina";"81.98";0;1;0;0;"01/09/2019";"18/09/2019";"carro";"2019-09-01";"2019-09-18"
"churrasquinho estacao";25;0;1;0;0;"01/09/2019";"19/09/2019";"compras";"2019-09-01";"2019-09-19"
"arizona";"13.9";0;1;0;0;"01/09/2019";"19/09/2019";"padaria";"2019-09-01";"2019-09-19"
"carlos reis";11;0;1;0;0;"01/09/2019";"19/09/2019";"compras";"2019-09-01";"2019-09-19"
"drogaraia";"4.72";0;1;0;0;"01/09/2019";"19/09/2019";"farmacia";"2019-09-01";"2019-09-19"
"ourinhos bolo";"41.7";0;1;0;0;"01/09/2019";"19/09/2019";"compras";"2019-09-01";"2019-09-19"
"sonda";"2.99";0;1;0;0;"01/09/2019";"19/09/2019";"mercado";"2019-09-01";"2019-09-19"
"padaria";"8.3";0;1;0;0;"01/09/2019";"20/09/2019";"padaria";"2019-09-01";"2019-09-20"
"lanchonete";42;0;1;0;0;"01/09/2019";"20/09/2019";"alimentação";"2019-09-01";"2019-09-20"
"sonda";"4.99";0;1;0;0;"01/09/2019";"20/09/2019";"mercado";"2019-09-01";"2019-09-20"
"saque";50;0;1;0;0;"01/09/2019";"23/09/2019";"saque";"2019-09-01";"2019-09-23"
"feira";50;0;1;0;0;"01/09/2019";"23/09/2019";"feira";"2019-09-01";"2019-09-23"
"mercado";"41.49";0;1;0;0;"01/09/2019";"23/09/2019";"mercado";"2019-09-01";"2019-09-23"
"mercado pag";9;0;1;0;0;"01/09/2019";"23/09/2019";"compras";"2019-09-01";"2019-09-23"
"sptransp";50;0;1;0;0;"01/09/2019";"23/09/2019";"transporte";"2019-09-01";"2019-09-23"
"pizzaria";13;0;1;0;0;"01/09/2019";"23/09/2019";"alimentação";"2019-09-01";"2019-09-23"
"gasolina";"77.98";0;1;0;0;"01/09/2019";"23/09/2019";"carro";"2019-09-01";"2019-09-23"
"stelo";9;0;1;0;0;"01/09/2019";"23/09/2019";"compras";"2019-09-01";"2019-09-23"
"assai";"58.5";0;1;0;0;"01/09/2019";"24/09/2019";"mercado";"2019-09-01";"2019-09-24"
"makochila";35;0;1;0;0;"01/09/2019";"24/09/2019";"alimentação";"2019-09-01";"2019-09-24"
"lanche";10;0;1;0;0;"01/09/2019";"25/09/2019";"alimentação";"2019-09-01";"2019-09-25"
"sptransp";30;0;1;0;0;"01/09/2019";"25/09/2019";"transporte";"2019-09-01";"2019-09-25"
"bolo carmem";130;0;1;0;0;"01/09/2019";"26/09/2019";"igreja";"2019-09-01";"2019-09-26"
"almoço";"30.6";0;1;0;0;"01/09/2019";"26/09/2019";"alimentação";"2019-09-01";"2019-09-26"
"lanche";"11.5";0;1;0;0;"01/09/2019";"26/09/2019";"alimentação";"2019-09-01";"2019-09-26"
"assai";"48.4";0;1;0;0;"01/09/2019";"27/09/2019";"mercado";"2019-09-01";"2019-09-27"
"almoço";32;0;1;0;0;"01/09/2019";"27/09/2019";"alimentação";"2019-09-01";"2019-09-27"
"gasolina";"77.98";0;1;0;0;"01/09/2019";"27/09/2019";"carro";"2019-09-01";"2019-09-27"
"estacionamento";12;0;1;0;0;"01/09/2019";"27/09/2019";"carro";"2019-09-01";"2019-09-27"
"café";5;0;1;0;0;"01/09/2019";"30/09/2019";"alimentação";"2019-09-01";"2019-09-30"
"roupa";500;0;1;0;0;"01/09/2019";"30/09/2019";"compras";"2019-09-01";"2019-09-30"
"saque";20;0;1;0;0;"01/09/2019";"30/09/2019";"saque";"2019-09-01";"2019-09-30"
"mercado";"57.89";0;1;0;0;"01/09/2019";"30/09/2019";"mercado";"2019-09-01";"2019-09-30"
"rafael";3;0;1;0;0;"01/09/2019";"30/09/2019";"compras";"2019-09-01";"2019-09-30"
"suco";"4.5";0;1;0;0;"01/09/2019";"30/09/2019";"alimentação";"2019-09-01";"2019-09-30"
"café";"6.99";0;1;0;0;"01/09/2019";;"alimentação";"2019-09-01";"2019-09-01"
"taxa conta corrente";"76.9";1;0;0;0;"01/10/2019";"02/10/2019";"banco";"2019-10-01";"2019-10-02"
"cartão de credito";"2616.38";0;1;0;0;"01/10/2019";"15/10/2019";"cartão credito";"2019-10-01";"2019-10-15"
"SEGURO CARTÃO";"6.41";1;0;0;0;"01/10/2019";"10/10/2019";"banco";"2019-10-01";"2019-10-10"
"UNICEF";75;1;0;0;0;"01/10/2019";"15/10/2019";"doação";"2019-10-01";"2019-10-15"
"seminario mensalidade";"250.59";1;0;0;0;"01/10/2019";"01/10/2019";"seminario";"2019-10-01";"2019-10-01"
"investimento";0;0;0;0;1;"01/10/2019";;"poupança";"2019-10-01";"2019-10-01"
"seguro carro";"188.87";1;0;0;0;"01/10/2019";"22/10/2019";"carro";"2019-10-01";"2019-10-22"
"bk kids";384;0;1;0;0;"01/10/2019";"14/10/2019";"compras";"2019-10-01";"2019-10-14"
"bolo carmem";130;0;1;0;0;"01/10/2019";"08/10/2019";"alimentação";"2019-10-01";"2019-10-08"
"michelle";500;0;1;0;0;"01/10/2019";"15/10/2019";"compras";"2019-10-01";"2019-10-15"
"ana paula";11;0;1;0;0;"01/10/2019";"01/10/2019";"compras";"2019-10-01";"2019-10-01"
"agua";"2.99";0;1;0;0;"01/10/2019";"01/10/2019";"alimentação";"2019-10-01";"2019-10-01"
"drogaraia";"14.99";0;1;0;0;"01/10/2019";"01/10/2019";"farmacia";"2019-10-01";"2019-10-01"
"almoço";"30.28";0;1;0;0;"01/10/2019";"01/10/2019";"alimentação";"2019-10-01";"2019-10-01"
"vila chic";"2.5";0;1;0;0;"01/10/2019";"01/10/2019";"alimentação";"2019-10-01";"2019-10-01"
"iof";"2.19";0;1;0;0;"01/10/2019";"01/10/2019";"banco";"2019-10-01";"2019-10-01"
"alpendre";34;0;1;0;0;"01/10/2019";"02/10/2019";"alimentação";"2019-10-01";"2019-10-02"
"bk shop sorvete";2;0;1;0;0;"01/10/2019";"02/10/2019";"alimentação";"2019-10-01";"2019-10-02"
"suco";"4.5";0;1;0;0;"01/10/2019";"02/10/2019";"alimentação";"2019-10-01";"2019-10-02"
"almoço";35;0;1;0;0;"01/10/2019";"03/10/2019";"alimentação";"2019-10-01";"2019-10-03"
"confecções";90;0;1;0;0;"01/10/2019";"03/10/2019";"compras";"2019-10-01";"2019-10-03"
"mc donalds";"22.8";0;1;0;0;"01/10/2019";"03/10/2019";"alimentação";"2019-10-01";"2019-10-03"
"mcamica";"53.4";0;1;0;0;"01/10/2019";"03/10/2019";"compras";"2019-10-01";"2019-10-03"
"gasolina";"85.17";0;1;0;0;"01/10/2019";"03/10/2019";"carro";"2019-10-01";"2019-10-03"
"galinha morta";99;0;1;0;0;"01/10/2019";"03/10/2019";"compras";"2019-10-01";"2019-10-03"
"nextel";75;0;1;0;0;"01/10/2019";"04/10/2019";"compras";"2019-10-01";"2019-10-04"
