"tipo_custo";"data_custo";"custo";"info_banco";"valor";"valor_custo";"valor_entrada";"ref_base";"dt_pagto_bq";"dt_custo_bq"
"saldo";"22/01/2021";"SALDO DO DIA";;-402,75;0;0;01/01/2021;"2021-01-01";"2021-01-22"
"saque";"26/01/2021";"SAQUE 24H 10758613 24/01";5086;-100;100;0;01/01/2021;"2021-01-01";"2021-01-26"
"compras";"26/01/2021";"ELECTRONA POSTO JD";9212;-6,25;6,25;0;01/01/2021;"2021-01-01";"2021-01-26"
"farmacia";"26/01/2021";"ELECTRONDROG SAO PA";9212;-17,9;17,9;0;01/01/2021;"2021-01-01";"2021-01-26"
"farmacia";"26/01/2021";"ELECTRONFARMACIAS P";9212;-5,99;5,99;0;01/01/2021;"2021-01-01";"2021-01-26"
"compras";"26/01/2021";"ELECTRONINDIGO";9212;-14;14;0;01/01/2021;"2021-01-01";"2021-01-26"
"compras";"26/01/2021";"ELECTRONLILIANE AYU";9212;-7;7;0;01/01/2021;"2021-01-01";"2021-01-26"
"compras";"26/01/2021";"ELECTRONMARGINAL GR";9212;-140;140;0;01/01/2021;"2021-01-01";"2021-01-26"
"compras";"26/01/2021";"ELECTRONPAG*galasso";9212;-5,01;5,01;0;01/01/2021;"2021-01-01";"2021-01-26"
"compras";"26/01/2021";"ELECTRONPAG*galasso";9212;-5;5;0;01/01/2021;"2021-01-01";"2021-01-26"
"alimentação";"26/01/2021";"ELECTRONPAG*Frigott";9212;-50;50;0;01/01/2021;"2021-01-01";"2021-01-26"
"alimentação";"26/01/2021";"ELECTRONRAVIOLITALI";9212;-55,15;55,15;0;01/01/2021;"2021-01-01";"2021-01-26"
"mercado";"26/01/2021";"ELECTRONTRIMAIS SUP";9212;-73,55;73,55;0;01/01/2021;"2021-01-01";"2021-01-26"
"mercado";"26/01/2021";"ELECTRONTRIMAIS SUP";9212;-104,74;104,74;0;01/01/2021;"2021-01-01";"2021-01-26"
"cabeleireiro";"26/01/2021";"PIX TRANSF  ALEXAND23/01";9026;-25;25;0;01/01/2021;"2021-01-01";"2021-01-26"
"deposito";"26/01/2021";"TBI 0747.56106-6     C/C";4175;200;0;200;01/01/2021;"2021-01-01";"2021-01-26"
"saldo";"26/01/2021";"SALDO DO DIA";;-812,34;0;0;01/01/2021;"2021-01-01";"2021-01-26"
"farmacia";"27/01/2021";"ELECTRONFARMACIA IN";9212;-7;7;0;01/01/2021;"2021-01-01";"2021-01-27"
"farmacia";"27/01/2021";"ELECTRONPAG*Farmaco";9212;-31,06;31,06;0;01/01/2021;"2021-01-01";"2021-01-27"
"saldo";"27/01/2021";"SALDO DO DIA";;-850,4;0;0;01/01/2021;"2021-01-01";"2021-01-27"
"carro";"28/01/2021";"ELECTRONAUTO POSTO";9212;-13,99;13,99;0;01/01/2021;"2021-01-01";"2021-01-28"
"farmacia";"28/01/2021";"ELECTRONPROMOFARMA";9212;-52,88;52,88;0;01/01/2021;"2021-01-01";"2021-01-28"
"farmacia";"28/01/2021";"ELECTRONRAIA 47";9212;-7,29;7,29;0;01/01/2021;"2021-01-01";"2021-01-28"
"compras";"28/01/2021";"ELECTRONRIO CONTENS";9212;-11;11;0;01/01/2021;"2021-01-01";"2021-01-28"
"saldo";"28/01/2021";"SALDO DO DIA";;-935,56;0;0;01/01/2021;"2021-01-01";"2021-01-28"
"alimentação";"29/01/2021";"ELECTRONBD";9212;-11;11;0;01/01/2021;"2021-01-01";"2021-01-29"
"compras";"29/01/2021";"ELECTRONPAG*MONICAP";9212;-14,9;14,9;0;01/01/2021;"2021-01-01";"2021-01-29"
"saldo";"29/01/2021";"SALDO ANTERIOR";;;0;0;01/02/2021;"2021-02-01";"2021-01-29"
"saque";"01/02/2021";"SAQUE 24H 12244067 31/01";5086;-100;100;0;01/02/2021;"2021-02-01";"2021-02-01"
"padaria";"01/02/2021";"ELECTRONARIZONA PAE";9212;-12,9;12,9;0;01/02/2021;"2021-02-01";"2021-02-01"
"padaria";"01/02/2021";"ELECTRONARIZONA PAE";9212;-6,71;6,71;0;01/02/2021;"2021-02-01";"2021-02-01"
"alimentação";"01/02/2021";"ELECTRONAV ZACHI NA";9212;-61,2;61,2;0;01/02/2021;"2021-02-01";"2021-02-01"
"alimentação";"01/02/2021";"ELECTRONBD";9212;-11;11;0;01/02/2021;"2021-02-01";"2021-02-01"
"farmacia";"01/02/2021";"ELECTRONDROGARIA PR";9212;-39,96;39,96;0;01/02/2021;"2021-02-01";"2021-02-01"
"alimentação";"01/02/2021";"ELECTRONFERNANDA GO";9212;-46,4;46,4;0;01/02/2021;"2021-02-01";"2021-02-01"
"alimentação";"01/02/2021";"ELECTRONPAG*Frigott";9212;-50;50;0;01/02/2021;"2021-02-01";"2021-02-01"
"salario";"01/02/2021";"PIX TRANSF  ANDRE N31/01";9028;1;0;1;01/02/2021;"2021-02-01";"2021-02-01"
"salario";"01/02/2021";"PIX TRANSF  ANDRE N31/01";9129;4303,32;0;4303;01/02/2021;"2021-02-01";"2021-02-01"
"banco";"01/02/2021";"IOF";;-17,95;17,95;0;01/02/2021;"2021-02-01";"2021-02-01"
"saldo";"01/02/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/02/2021;"2021-02-01";"2021-02-01"
"poupança";"02/02/2021";"TBI 9293.22915-0/500";4175;-2000;2000;0;01/02/2021;"2021-02-01";"2021-02-02"
"mercado";"02/02/2021";"ELECTRONTRIMAIS SUP";9212;-48,48;48,48;0;01/02/2021;"2021-02-01";"2021-02-02"
"igreja";"02/02/2021";"PIX TRANSF  Ana Mar02/02";9132;-50;50;0;01/02/2021;"2021-02-01";"2021-02-02"
"compras";"02/02/2021";"TED 237.0001BRADESCO SAU";;150;0;150;01/02/2021;"2021-02-01";"2021-02-02"
"banco";"02/02/2021";"TAR PACOTE ITAU   JAN/21";9293;-79,5;79,5;0;01/02/2021;"2021-02-01";"2021-02-02"
"saldo";"02/02/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/02/2021;"2021-02-01";"2021-02-02"
"saldo";"03/02/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/02/2021;"2021-02-01";"2021-02-03"
"farmacia";"04/02/2021";"ELECTRONFARMAVAN XI";9212;-16,99;16,99;0;01/02/2021;"2021-02-01";"2021-02-04"
