"de_para";"valor";
"ELECTRONPAG*Danubia";"compras";
"ELECTRONTIAGO COELH";"compras";
"INT TED  040954 SEMINRI";"seminario";
"IOF";"banco";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"TAR PACOTE ITAU   FEV/20";"banco";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"SALDO APLIC AUT MAIS";"saldo";
"LIS/JUROS     12 DIAS";"juros";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"SAQUE CARTAO MAGNETICO";"saque";
"RSHOP-AUTOPASS   -06/03";"compras";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"CXE 001370 SAQUE 07/03";"saque";
"RSHOP-DROGARIA PR-07/03";"farmacia";
"RSHOP-LOJAS BECKE-07/03";"compras";
"DEB AUTOR UNICEF";"doação";
"RES APLIC AUT MAIS";"banco";
"REND PAGO APLIC AUT MAIS";"saldo";
"SALDO APLIC AUT MAIS";"saldo";
"RSHOP-PERTO METRO-10/03";"compras";
"RSHOP-SHOKITI    -10/03";"compras";
"SEGURO CARTAO";"banco";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"RSHOP-LOJAS RENNE-11/03";"compras";
"RSHOP-RIACHUELO 1-11/03";"compras";
"RSHOP-SANTA FE   -11/03";"compras";
"RES APLIC AUT MAIS";"banco";
"RSHOP-MC DONALDS -12/03";"alimentação";
"RSHOP-MC DONALDS -12/03";"alimentação";
"RSHOP-SONDA TREME-12/03";"mercado";
"INT NEXTEL 9999999734880";"celular";
"INT NEXTEL 9999999734880";"celular";
"RSHOP-PAG*PointDo-13/03";"compras";
"RSHOP-PAG*WpaperM-13/03";"compras";
"RSHOP-PAO TO GO  -13/03";"compras";
"RSHOP-PRINCESA DA-13/03";"compras";
"RSHOP-SHOKITI    -13/03";"compras";
"INT DPVAT-SP HOH-6396";"dpvat";
"INT IPVA-SP HOH-6396";"ipva";
"INT ITAUCARD";"cartão credito";
"TBI 9293.22915-0/500";"resgate";
"TED 237.2846ANDRE N BARB";"salario";
"APL APLIC AUT MAIS";"saldo";
"SALDO APLIC AUT MAIS";"saldo";
"SALDO PARCIAL";"saldo";
"SALDO ANTERIOR";"saldo";
"RSHOP-IRA CAVALCA-16/03";"viagem";
"RSHOP-KETENE     -15/03";"viagem";
"RSHOP-LGA LANCHON-14/03";"viagem";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"RSHOP-PAG*Givaldo-17/03";"viagem";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"RSHOP-PAG*Sebasti-18/03";"viagem";
"RSHOP-PAG*Sebasti-18/03";"viagem";
"RSHOP-ZP *CICERO -18/03";"viagem";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"RSHOP-PAG*Restaur-19/03";"viagem";
"RSHOP-SUPERMAR   -19/03";"viagem";
"RSHOP-SUPERMAR   -19/03";"viagem";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"SALDO APLIC AUT MAIS";"saldo";
