custo;valor debito;custo fixo;custo variavel;pendente;data pagto;semana;data pagamento;tipo;dt_pagto_bq;dt_custo_bq
café;6;0;1;0;01/10/2016;4ª semana;24/10/2016;alimentação;2016-10-01;2016-10-24
feira;64;0;1;0;01/10/2016;fim de semana;23/10/2016;feira;2016-10-01;2016-10-23
alimad lanche;14.4;0;1;0;01/10/2016;3ª semana;20/10/2016;alimentação;2016-10-01;2016-10-20
agua / fruta;10;0;1;0;01/10/2016;3ª semana;20/10/2016;alimentação;2016-10-01;2016-10-20
feira;50;0;1;0;01/10/2016;3ª semana;19/10/2016;feira;2016-10-01;2016-10-19
comgas;27.91;1;0;0;01/10/2016;3ª semana;18/10/2016;casa;2016-10-01;2016-10-18
consorcio;605.92;1;0;0;01/10/2016;2ª semana;17/10/2016;investimento;2016-10-01;2016-10-17
UNICEF;50;1;0;0;01/10/2016;2ª semana;17/10/2016;doação;2016-10-01;2016-10-17
feira;30;0;1;0;01/10/2016;2ª semana;16/10/2016;feira;2016-10-01;2016-10-16
michelle;20;0;1;0;01/10/2016;2ª semana;16/10/2016;pessoal;2016-10-01;2016-10-16
neusa;17;0;1;0;01/10/2016;2ª semana;15/10/2016;pessoal;2016-10-01;2016-10-15
encontro de casal;30;0;1;0;01/10/2016;2ª semana;15/10/2016;pessoal;2016-10-01;2016-10-15
olibone;476;0;1;0;01/10/2016;2ª semana;15/10/2016;carro;2016-10-01;2016-10-15
custo total aluguel;1427.5;1;0;0;01/10/2016;2ª semana;14/10/2016;casa;2016-10-01;2016-10-14
contador;145;1;0;0;01/10/2016;2ª semana;14/10/2016;contador;2016-10-01;2016-10-14
SORVETE;2.5;0;1;0;01/10/2016;2ª semana;13/10/2016;alimentação;2016-10-01;2016-10-13
CAFÉ;4;0;1;0;01/10/2016;2ª semana;13/10/2016;alimentação;2016-10-01;2016-10-13
CAFÉ;6;0;1;0;01/10/2016;2ª semana;13/10/2016;alimentação;2016-10-01;2016-10-13
CIDADE DA CRIANÇA;18;0;1;0;01/10/2016;2ª semana;12/10/2016;lazer;2016-10-01;2016-10-12
BURGER KING;15;0;1;0;01/10/2016;2ª semana;11/10/2016;almoço;2016-10-01;2016-10-11
edvaldo;100;0;1;0;01/10/2016;2ª semana;11/10/2016;emprestimo;2016-10-01;2016-10-11
SEGURO RESIDENCIA;45.2;1;0;0;01/10/2016;2ª semana;10/10/2016;banco;2016-10-01;2016-10-10
SEGURO CARTÃO;5.79;1;0;0;01/10/2016;2ª semana;10/10/2016;banco;2016-10-01;2016-10-10
almoço;23;0;1;0;01/10/2016;2ª semana;10/10/2016;almoço;2016-10-01;2016-10-10
suco;3;0;1;0;01/10/2016;2ª semana;10/10/2016;alimentação;2016-10-01;2016-10-10
sorvete;2;0;1;0;01/10/2016;2ª semana;10/10/2016;alimentação;2016-10-01;2016-10-10
CABELEIREIRO;20;0;1;0;01/10/2016;fim de semana;08/10/2016;pessoal;2016-10-01;2016-10-08
feira;70;0;1;0;01/10/2016;fim de semana;08/10/2016;feira;2016-10-01;2016-10-08
net;383.58;1;0;0;01/10/2016;1ª semana;07/10/2016;casa;2016-10-01;2016-10-07
luz;94.35;1;0;0;01/10/2016;1ª semana;07/10/2016;casa;2016-10-01;2016-10-07
agua;3;0;1;0;01/10/2016;1ª semana;07/10/2016;alimentação;2016-10-01;2016-10-07
café;5;0;1;0;01/10/2016;1ª semana;07/10/2016;alimentação;2016-10-01;2016-10-07
café;6.5;0;1;0;01/10/2016;1ª semana;06/10/2016;alimentação;2016-10-01;2016-10-06
padaria;14.17;0;1;0;01/10/2016;1ª semana;06/10/2016;padaria;2016-10-01;2016-10-06
café;4;0;1;0;01/10/2016;1ª semana;06/10/2016;alimentação;2016-10-01;2016-10-06
café salgado;6.5;0;1;0;01/10/2016;1ª semana;06/10/2016;alimentação;2016-10-01;2016-10-06
café tarde;17.55;0;1;0;01/10/2016;1ª semana;06/10/2016;alimentação;2016-10-01;2016-10-06
lis/juros;42.09;0;1;0;01/10/2016;1ª semana;05/10/2016;banco;2016-10-01;2016-10-05
sorvete;5;0;1;0;01/10/2016;1ª semana;05/10/2016;alimentação;2016-10-01;2016-10-05
café / doces;9.63;0;1;0;01/10/2016;1ª semana;04/10/2016;alimentação;2016-10-01;2016-10-04
sorvete;3.5;0;1;0;01/10/2016;1ª semana;04/10/2016;alimentação;2016-10-01;2016-10-04
estacionamento;200;0;1;0;01/10/2016;1ª semana;03/10/2016;carro;2016-10-01;2016-10-03
agua / suco;10.49;0;1;0;01/10/2016;1ª semana;03/10/2016;alimentação;2016-10-01;2016-10-03
café;3;0;1;0;01/10/2016;1ª semana;03/10/2016;alimentação;2016-10-01;2016-10-03
iof;4.7;0;1;0;01/10/2016;1ª semana;03/10/2016;banco;2016-10-01;2016-10-03
taxa conta corrente;52.4;1;0;0;01/10/2016;1ª semana;01/10/2016;banco;2016-10-01;2016-10-01
