custo;valor debito;custo fixo;custo variavel;pendente;data pagto;semana;data pagamento;tipo;dt_pagto_bq;dt_custo_bq
chocolate em barra;9.97;0;1;0;01/06/2016;2ª semana;06/06/2016;alimentação;2016-06-01;2016-06-06
café da manha;6.5;0;1;0;01/06/2016;2ª semana;06/06/2016;alimentação;2016-06-01;2016-06-06
feira;90;0;1;0;01/06/2016;fim de semana;05/06/2016;feira;2016-06-01;2016-06-05
frango;30;0;1;0;01/06/2016;fim de semana;05/06/2016;alimentação;2016-06-01;2016-06-05
oferta;20;0;1;0;01/06/2016;fim de semana;05/06/2016;benção;2016-06-01;2016-06-05
diferença;59;0;1;0;01/06/2016;fim de semana;05/06/2016;divergente;2016-06-01;2016-06-05
portas abertas;92;0;1;0;01/06/2016;fim de semana;05/06/2016;benção;2016-06-01;2016-06-05
jocum;100;0;1;0;01/06/2016;fim de semana;04/06/2016;benção;2016-06-01;2016-06-04
pedagio campinas;30;0;1;0;01/06/2016;fim de semana;04/06/2016;carro;2016-06-01;2016-06-04
padaria;18.1;0;1;0;01/06/2016;fim de semana;04/06/2016;carro;2016-06-01;2016-06-04
estacionamento;9;0;1;0;01/06/2016;fim de semana;04/06/2016;carro;2016-06-01;2016-06-04
agua/chocolate;7.97;0;1;0;01/06/2016;1ª semana;03/06/2016;carro;2016-06-01;2016-06-03
taxa conta corrente;51;1;0;0;01/06/2016;1ª semana;02/06/2016;banco;2016-06-01;2016-06-02
comgas;32.14;1;0;0;01/05/2016;4ª semana;01/06/2016;casa;2016-05-01;2016-06-01
estacionamento;200;1;0;0;01/05/2016;1ª semana;28/05/2016;carro;2016-05-01;2016-05-28
seguro;521.75;1;0;0;01/05/2016;2ª semana;23/05/2016;casa;2016-05-01;2016-05-23
feirainha da madrugada;100;0;1;0;01/05/2016;fim de semana;21/05/2016;pessoal;2016-05-01;2016-05-21
sorvete;11.75;0;1;0;01/05/2016;3ª semana;20/05/2016;alimentação;2016-05-01;2016-05-20
emprestimo;200;0;1;0;01/05/2016;3ª semana;20/05/2016;pessoal;2016-05-01;2016-05-20
estacionamento;20;0;1;0;01/05/2016;3ª semana;19/05/2016;carro;2016-05-01;2016-05-19
diferença;9;0;1;0;01/05/2016;3ª semana;19/05/2016;divergente;2016-05-01;2016-05-19
socio torcedor - sp;30;0;1;0;01/05/2016;3ª semana;19/05/2016;socio torcedor;2016-05-01;2016-05-19
almoço;30.9;0;1;0;01/05/2016;3ª semana;18/05/2016;almoço;2016-05-01;2016-05-18
agua;3;0;1;0;01/05/2016;3ª semana;18/05/2016;alimentação;2016-05-01;2016-05-18
mercado;196.6;0;1;0;01/05/2016;3ª semana;17/05/2016;mercado;2016-05-01;2016-05-17
café;7.5;0;1;0;01/05/2016;3ª semana;17/05/2016;alimentação;2016-05-01;2016-05-17
UNICEF;50;1;0;0;01/05/2016;1ª semana;16/05/2016;doação;2016-05-01;2016-05-16
consorcio;601.11;1;0;0;01/05/2016;1ª semana;16/05/2016;investimento;2016-05-01;2016-05-16
padaria;4;0;1;0;01/05/2016;3ª semana;16/05/2016;padaria;2016-05-01;2016-05-16
agua;3;0;1;0;01/05/2016;3ª semana;16/05/2016;alimentação;2016-05-01;2016-05-16
pizzaria;44;0;1;0;01/05/2016;2ª semana;13/05/2016;alimentação;2016-05-01;2016-05-13
pao/queijo;6;0;1;0;01/05/2016;2ª semana;13/05/2016;padaria;2016-05-01;2016-05-13
sptransp;230;1;0;0;01/05/2016;1ª semana;12/05/2016;transporte;2016-05-01;2016-05-12
pao/queijo;8;0;1;0;01/05/2016;2ª semana;12/05/2016;padaria;2016-05-01;2016-05-12
agua;3;0;1;0;01/05/2016;2ª semana;12/05/2016;alimentação;2016-05-01;2016-05-12
boleto predio ipesp;657.58;0;1;0;01/05/2016;2ª semana;11/05/2016;pessoal;2016-05-01;2016-05-11
agua;3;0;1;0;01/05/2016;2ª semana;11/05/2016;alimentação;2016-05-01;2016-05-11
pao;2;0;1;0;01/05/2016;2ª semana;11/05/2016;padaria;2016-05-01;2016-05-11
SEGURO CARTÃO;5.79;1;0;0;01/05/2016;1ª semana;10/05/2016;banco;2016-05-01;2016-05-10
SEGURO RESIDENCIA;45.74;1;0;0;01/05/2016;1ª semana;10/05/2016;banco;2016-05-01;2016-05-10
custo total aluguel;0;1;0;1;01/05/2016;1ª semana;10/05/2016;casa;2016-05-01;2016-05-10
cartão de credito;4424.82;1;0;0;01/05/2016;2ª semana;10/05/2016;cartão credito;2016-05-01;2016-05-10
jocum;0;1;0;1;01/05/2016;1ª semana;10/05/2016;benção;2016-05-01;2016-05-10
boleto moçambique;0;1;0;1;01/05/2016;2ª semana;10/05/2016;benção;2016-05-01;2016-05-10
dizimo;0;1;0;1;01/05/2016;2ª semana;10/05/2016;benção;2016-05-01;2016-05-10
net;703.21;1;0;0;01/05/2016;1ª semana;09/05/2016;casa;2016-05-01;2016-05-09
contador;145;1;0;0;01/05/2016;2ª semana;09/05/2016;contador;2016-05-01;2016-05-09
csll tri - boleto - 1,88;198.66;1;0;0;10/03/2016;2ª semana;09/05/2016;imposto;2016-03-01;2016-05-09
irpj - boleto - 0,90;95.11;1;0;0;10/03/2016;2ª semana;09/05/2016;imposto;2016-03-01;2016-05-09
luz;76.66;1;0;0;01/05/2016;2ª semana;09/05/2016;casa;2016-05-01;2016-05-09
almoço;23;0;1;0;01/05/2016;2ª semana;09/05/2016;almoço;2016-05-01;2016-05-09
agua / salada de furta;8;0;1;0;01/05/2016;2ª semana;09/05/2016;alimentação;2016-05-01;2016-05-09
almoço - dia das maes;144.6;0;1;0;01/05/2016;fim de semana;08/05/2016;almoço;2016-05-01;2016-05-08
pastel;10;0;1;0;01/05/2016;fim de semana;07/05/2016;alimentação;2016-05-01;2016-05-07
caldo de cana;10;0;1;0;01/05/2016;fim de semana;07/05/2016;alimentação;2016-05-01;2016-05-07
almoço;28;0;1;0;01/05/2016;1ª semana;05/05/2016;almoço;2016-05-01;2016-05-05
agua bolacha;10;0;1;0;01/05/2016;1ª semana;05/05/2016;alimentação;2016-05-01;2016-05-05
mercado;206.91;0;1;0;01/05/2016;1ª semana;05/05/2016;mercado;2016-05-01;2016-05-05
lanche padaria;10;0;1;0;01/05/2016;1ª semana;04/05/2016;alimentação;2016-05-01;2016-05-04
lanche;6.6;0;1;0;01/05/2016;1ª semana;04/05/2016;alimentação;2016-05-01;2016-05-04
estacionamento;13;0;1;0;01/05/2016;1ª semana;04/05/2016;carro;2016-05-01;2016-05-04
almoço;28;0;1;0;01/05/2016;1ª semana;04/05/2016;almoço;2016-05-01;2016-05-04
almoço;24;0;1;0;01/05/2016;1ª semana;04/05/2016;almoço;2016-05-01;2016-05-04
chocolate;10;0;1;0;01/05/2016;1ª semana;04/05/2016;alimentação;2016-05-01;2016-05-04
farmacia;45;0;1;0;01/05/2016;1ª semana;04/05/2016;farmacia;2016-05-01;2016-05-04
café;10;0;1;0;01/05/2016;1ª semana;04/05/2016;alimentação;2016-05-01;2016-05-04
TAR PACOTEIU3 MENS ABR16 ;51;1;0;0;01/05/2016;4ª semana;03/05/2016;banco;2016-05-01;2016-05-03
agua;6;0;1;0;01/05/2016;1ª semana;03/05/2016;alimentação;2016-05-01;2016-05-03
salada de fruta;6;0;1;0;01/05/2016;1ª semana;03/05/2016;alimentação;2016-05-01;2016-05-03
custo desconhecido;63;0;1;0;01/05/2016;1ª semana;03/05/2016;divergente;2016-05-01;2016-05-03
café;10;0;1;0;01/05/2016;1ª semana;03/05/2016;alimentação;2016-05-01;2016-05-03
livro;25;0;1;0;01/05/2016;fim de semana;01/05/2016;pessoal;2016-05-01;2016-05-01
mc donalds;59;0;1;0;01/05/2016;fim de semana;01/05/2016;alimentação;2016-05-01;2016-05-01
feira;110;0;1;0;01/05/2016;fim de semana;01/05/2016;feira;2016-05-01;2016-05-01
benção;100;0;1;0;01/05/2016;fim de semana;01/05/2016;benção;2016-05-01;2016-05-01
mercado;20;0;1;0;01/05/2016;fim de semana;01/05/2016;mercado;2016-05-01;2016-05-01
pastel/caldo cana;4;0;1;0;01/05/2016;fim de semana;01/05/2016;alimentação;2016-05-01;2016-05-01
estacionamento;13;1;0;0;01/04/2016;3ª semana;29/04/2016;carro;2016-04-01;2016-04-29
lanche;4;1;0;0;01/04/2016;3ª semana;29/04/2016;alimentação;2016-04-01;2016-04-29
michelle;10;1;0;0;01/04/2016;3ª semana;29/04/2016;michelle;2016-04-01;2016-04-29
saque;23;1;0;0;01/04/2016;3ª semana;29/04/2016;saque;2016-04-01;2016-04-29
agua / bolacha;12.99;1;0;0;01/04/2016;3ª semana;27/04/2016;alimentação;2016-04-01;2016-04-27
livro;42.9;1;0;0;01/04/2016;3ª semana;26/04/2016;pessoal;2016-04-01;2016-04-26
comgas;32.2;1;0;0;01/04/2016;1ª semana;22/04/2016;casa;2016-04-01;2016-04-22
café capsula;5.8;1;0;0;01/04/2016;2ª semana;20/04/2016;alimentação;2016-04-01;2016-04-20
pagar mae;70;1;0;0;01/04/2016;2ª semana;18/04/2016;pessoal;2016-04-01;2016-04-18
café padaria;10;1;0;0;01/04/2016;2ª semana;18/04/2016;alimentação;2016-04-01;2016-04-18
café capsula;6;1;0;0;01/04/2016;2ª semana;18/04/2016;alimentação;2016-04-01;2016-04-18
café starbucks;9.9;1;0;0;01/04/2016;2ª semana;18/04/2016;alimentação;2016-04-01;2016-04-18
dizimo;1350;1;0;0;01/04/2016;2ª semana;17/04/2016;benção;2016-04-01;2016-04-17
feira;113;1;0;0;01/04/2016;fim de semana;16/04/2016;feira;2016-04-01;2016-04-16
cabelereiro;20;1;0;0;01/04/2016;fim de semana;16/04/2016;pessoal;2016-04-01;2016-04-16
cd seara urbana;10;1;0;0;01/04/2016;fim de semana;16/04/2016;pessoal;2016-04-01;2016-04-16
emprestimo;20;1;0;0;01/04/2016;fim de semana;16/04/2016;pessoal;2016-04-01;2016-04-16
feijoada - jocum;57;1;0;0;01/04/2016;fim de semana;16/04/2016;almoço;2016-04-01;2016-04-16
lava carro;50;1;0;0;01/04/2016;2ª semana;15/04/2016;carro;2016-04-01;2016-04-15
luz;79.04;1;0;0;01/04/2016;1ª semana;14/04/2016;casa;2016-04-01;2016-04-14
agua / bolacha;7.55;1;0;0;01/04/2016;2ª semana;14/04/2016;alimentação;2016-04-01;2016-04-14
emprestimo;0;1;0;0;01/04/2016;2ª semana;14/04/2016;pessoal;2016-04-01;2016-04-14
estacionamento;15;1;0;0;01/04/2016;2ª semana;14/04/2016;carro;2016-04-01;2016-04-14
habibs;55.4;1;0;0;01/04/2016;2ª semana;13/04/2016;alimentação;2016-04-01;2016-04-13
café;7.5;1;0;0;01/04/2016;2ª semana;13/04/2016;alimentação;2016-04-01;2016-04-13
sorvete;11.75;1;0;0;01/04/2016;2ª semana;13/04/2016;alimentação;2016-04-01;2016-04-13
sptransp;230;1;0;0;01/04/2016;1ª semana;12/04/2016;transporte;2016-04-01;2016-04-12
saque;10;1;0;0;01/04/2016;2ª semana;12/04/2016;saque;2016-04-01;2016-04-12
café;6.45;1;0;0;01/04/2016;2ª semana;12/04/2016;alimentação;2016-04-01;2016-04-12
custo total aluguel;1404.66;1;0;0;01/04/2016;1ª semana;11/04/2016;casa;2016-04-01;2016-04-11
agua / biscoito;8.98;1;0;0;01/04/2016;2ª semana;11/04/2016;alimentação;2016-04-01;2016-04-11
SEGURO CARTÃO;5.32;1;0;0;01/04/2016;1ª semana;10/04/2016;banco;2016-04-01;2016-04-10
UNICEF;50;1;0;0;01/04/2016;1ª semana;10/04/2016;doação;2016-04-01;2016-04-10
TAXA CONTA JURIDICA;64;1;0;0;01/04/2016;1ª semana;10/04/2016;banco;2016-04-01;2016-04-10
SEGURO RESIDENCIA;45.74;1;0;0;01/04/2016;1ª semana;10/04/2016;banco;2016-04-01;2016-04-10
net;455.79;1;0;0;01/04/2016;1ª semana;10/04/2016;casa;2016-04-01;2016-04-10
consorcio;600.21;1;0;0;01/04/2016;1ª semana;10/04/2016;investimento;2016-04-01;2016-04-10
contador;145;1;0;0;01/04/2016;1ª semana;10/04/2016;contador;2016-04-01;2016-04-10
csll tri - boleto - 1,88;144.76;1;0;0;01/04/2016;1ª semana;10/04/2016;imposto;2016-04-01;2016-04-10
irpj - boleto - 0,90;69.3;1;0;0;01/04/2016;1ª semana;10/04/2016;imposto;2016-04-01;2016-04-10
cartão de credito;2370.59;1;0;0;01/04/2016;2ª semana;10/04/2016;cartão credito;2016-04-01;2016-04-10
TAXA CONTA FISICA;0;1;0;0;01/04/2016;4ª semana;10/04/2016;banco;2016-04-01;2016-04-10
seguro;521.75;1;0;0;01/04/2016;2ª semana;10/04/2016;casa;2016-04-01;2016-04-10
conta juridica;3;1;0;0;01/04/2016;1ª semana;10/04/2016;banco;2016-04-01;2016-04-10
feira;70;1;0;0;01/04/2016;fim de semana;10/04/2016;feira;2016-04-01;2016-04-10
estacionamento;7;1;0;0;01/04/2016;fim de semana;10/04/2016;carro;2016-04-01;2016-04-10
refrigerante/sucos;23;1;0;0;01/04/2016;fim de semana;10/04/2016;alimentação;2016-04-01;2016-04-10
jocum;250;1;0;0;01/04/2016;fim de semana;09/04/2016;benção;2016-04-01;2016-04-09
agua;5;1;0;0;01/04/2016;fim de semana;09/04/2016;alimentação;2016-04-01;2016-04-09
refrigerante/sucos;30;1;0;0;01/04/2016;fim de semana;09/04/2016;alimentação;2016-04-01;2016-04-09
biblia evangelismo;79;1;0;0;01/04/2016;1ª semana;08/04/2016;benção;2016-04-01;2016-04-08
agua;4;1;0;0;01/04/2016;1ª semana;08/04/2016;alimentação;2016-04-01;2016-04-08
ajuda universitario;4;1;0;0;01/04/2016;1ª semana;08/04/2016;doação;2016-04-01;2016-04-08
papel de embrulho evangelismo;7;1;0;0;01/04/2016;1ª semana;08/04/2016;benção;2016-04-01;2016-04-08
sptransp;60;0;1;0;01/03/2016;4ª semana;05/04/2016;transporte;2016-03-01;2016-04-05
lis/juros;1.52;0;1;0;01/03/2016;4ª semana;05/04/2016;banco;2016-03-01;2016-04-05
TAXA CONTA FISICA;51;1;0;0;01/03/2016;4ª semana;04/04/2016;banco;2016-03-01;2016-04-04
estacionamento;12;0;1;0;01/03/2016;fim de semana;02/04/2016;carro;2016-03-01;2016-04-02
ajuda rua;8;0;1;0;01/03/2016;fim de semana;02/04/2016;doação;2016-03-01;2016-04-02
iof;0.82;0;1;0;01/03/2016;3ª semana;01/04/2016;banco;2016-03-01;2016-04-01
sptransp;60;0;1;0;01/03/2016;3ª semana;29/03/2016;transporte;2016-03-01;2016-03-29
seguro;521.75;1;0;0;01/03/2016;4ª semana;28/03/2016;casa;2016-03-01;2016-03-28
estacionamento;200;0;1;0;01/03/2016;4ª semana;28/03/2016;carro;2016-03-01;2016-03-28
estacionamento;200;1;0;0;01/04/2016;2ª semana;28/03/2016;carro;2016-04-01;2016-03-28
ajuda rua;6;0;1;0;01/03/2016;3ª semana;21/03/2016;doação;2016-03-01;2016-03-21
dizimo michelle;100;0;1;0;01/03/2016;fim de semana;20/03/2016;benção;2016-03-01;2016-03-20
oferta;20;0;1;0;01/03/2016;fim de semana;20/03/2016;benção;2016-03-01;2016-03-20
feira;75;0;1;0;01/03/2016;fim de semana;19/03/2016;feira;2016-03-01;2016-03-19
cartão de credito;3526.26;1;0;0;01/03/2016;2ª semana;17/03/2016;cartão credito;2016-03-01;2016-03-17
michelle;50;0;1;0;01/03/2016;2ª semana;17/03/2016;michelle;2016-03-01;2016-03-17
agua;1;0;1;0;01/03/2016;2ª semana;16/03/2016;alimentação;2016-03-01;2016-03-16
desconhecido;91;0;1;0;01/03/2016;2ª semana;16/03/2016;divergente;2016-03-01;2016-03-16
sptransp;120;1;0;0;01/03/2016;4ª semana;14/03/2016;transporte;2016-03-01;2016-03-14
comgas;32.05;1;0;0;01/03/2016;1ª semana;14/03/2016;casa;2016-03-01;2016-03-14
mercado;109.81;0;1;0;01/03/2016;fim de semana;13/03/2016;mercado;2016-03-01;2016-03-13
feira;60;0;1;0;01/03/2016;fim de semana;13/03/2016;feira;2016-03-01;2016-03-13
benção;100;0;1;0;01/03/2016;fim de semana;13/03/2016;benção;2016-03-01;2016-03-13
padaria;21.63;0;1;0;01/03/2016;fim de semana;12/03/2016;padaria;2016-03-01;2016-03-12
futebol;26.5;0;1;0;01/03/2016;fim de semana;12/03/2016;lazer;2016-03-01;2016-03-12
pizzaria;27;0;1;0;01/03/2016;fim de semana;12/03/2016;alimentação;2016-03-01;2016-03-12
padaria;9.19;0;1;0;01/03/2016;1ª semana;11/03/2016;padaria;2016-03-01;2016-03-11
almoço;32;0;1;0;01/03/2016;1ª semana;11/03/2016;almoço;2016-03-01;2016-03-11
saque;20;0;1;0;01/02/2016;5ª semana;10/03/2016;saque;2016-02-01;2016-03-10
talao azul;7;0;1;0;01/02/2016;5ª semana;10/03/2016;transporte;2016-02-01;2016-03-10
SEGURO CARTÃO;5.32;1;0;0;01/03/2016;1ª semana;10/03/2016;banco;2016-03-01;2016-03-10
UNICEF;50;1;0;0;01/03/2016;1ª semana;10/03/2016;doação;2016-03-01;2016-03-10
TAXA CONTA JURIDICA;57;1;0;0;01/03/2016;1ª semana;10/03/2016;banco;2016-03-01;2016-03-10
SEGURO RESIDENCIA;45.74;1;0;0;01/03/2016;1ª semana;10/03/2016;banco;2016-03-01;2016-03-10
net;328.85;1;0;0;01/03/2016;1ª semana;10/03/2016;casa;2016-03-01;2016-03-10
consorcio;575.36;1;0;0;01/03/2016;1ª semana;10/03/2016;investimento;2016-03-01;2016-03-10
contador;190.2;1;0;0;01/03/2016;1ª semana;10/03/2016;contador;2016-03-01;2016-03-10
csll tri - boleto - 1,88;144.76;1;0;0;01/03/2016;1ª semana;10/03/2016;imposto;2016-03-01;2016-03-10
irpj - boleto - 0,90;69.3;1;0;0;01/03/2016;1ª semana;10/03/2016;imposto;2016-03-01;2016-03-10
custo total aluguel;1355.15;1;0;0;01/03/2016;1ª semana;10/03/2016;casa;2016-03-01;2016-03-10
luz;66.24;1;0;0;01/03/2016;1ª semana;10/03/2016;casa;2016-03-01;2016-03-10
boleto moçambique;0;1;0;1;01/03/2016;1ª semana;10/03/2016;benção;2016-03-01;2016-03-10
dizimo;0;1;0;1;01/03/2016;1ª semana;10/03/2016;benção;2016-03-01;2016-03-10
salgado;8.6;0;1;0;01/03/2016;1ª semana;10/03/2016;alimentação;2016-03-01;2016-03-10
mc donalds;32.5;0;1;0;01/03/2016;1ª semana;10/03/2016;alimentação;2016-03-01;2016-03-10
mercado;43.36;0;1;0;01/02/2016;5ª semana;09/03/2016;mercado;2016-02-01;2016-03-09
café;11.22;0;1;0;01/02/2016;5ª semana;09/03/2016;alimentação;2016-02-01;2016-03-09
agua / amemdoim;11.98;0;1;0;01/02/2016;5ª semana;09/03/2016;alimentação;2016-02-01;2016-03-09
chocolate / agua;11.77;0;1;0;01/02/2016;5ª semana;08/03/2016;alimentação;2016-02-01;2016-03-08
farmacia camisinha;23.96;0;1;0;01/02/2016;5ª semana;08/03/2016;farmacia;2016-02-01;2016-03-08
dicico;15.72;0;1;0;01/02/2016;fim de semana;05/03/2016;pessoal;2016-02-01;2016-03-05
saque;20;0;1;0;01/02/2016;fim de semana;05/03/2016;saque;2016-02-01;2016-03-05
cabelereiro;20;0;1;0;01/02/2016;fim de semana;05/03/2016;pessoal;2016-02-01;2016-03-05
lanche / chocolate / agua;20.37;0;1;0;01/02/2016;4ª semana;04/03/2016;alimentação;2016-02-01;2016-03-04
bala hortela;9.5;0;1;0;01/02/2016;4ª semana;04/03/2016;alimentação;2016-02-01;2016-03-04
pizzaria;63.86;0;1;0;01/02/2016;4ª semana;04/03/2016;alimentação;2016-02-01;2016-03-04
TAXA CONTA FISICA;48;1;0;0;01/02/2016;4ª semana;02/03/2016;banco;2016-02-01;2016-03-02
salgado;3.1;0;1;0;01/02/2016;4ª semana;02/03/2016;alimentação;2016-02-01;2016-03-02
salgado;7.6;0;1;0;01/02/2016;4ª semana;02/03/2016;alimentação;2016-02-01;2016-03-02
salgado;9.4;0;1;0;01/02/2016;4ª semana;02/03/2016;alimentação;2016-02-01;2016-03-02
drogaria mamadeira/leite;44.94;0;1;0;01/02/2016;4ª semana;01/03/2016;bebe;2016-02-01;2016-03-01
sptransp;120;1;0;0;01/02/2016;1ª semana;29/02/2016;transporte;2016-02-01;2016-02-29
sptransp;120;1;0;0;01/02/2016;4ª semana;29/02/2016;transporte;2016-02-01;2016-02-29
estacionamento;200;0;1;0;01/02/2016;4ª semana;28/02/2016;carro;2016-02-01;2016-02-28
saque;70;0;1;0;01/02/2016;fim de semana;27/02/2016;saque;2016-02-01;2016-02-27
feira;100;0;1;0;01/02/2016;fim de semana;27/02/2016;feira;2016-02-01;2016-02-27
carnes - hamburgao 1k;57.7;0;1;0;01/02/2016;fim de semana;27/02/2016;alimentação;2016-02-01;2016-02-27
benção;50;0;1;0;01/02/2016;fim de semana;27/02/2016;benção;2016-02-01;2016-02-27
michelle;50;0;1;0;01/02/2016;fim de semana;27/02/2016;michelle;2016-02-01;2016-02-27
alcool;50;0;1;0;01/02/2016;4ª semana;26/02/2016;carro;2016-02-01;2016-02-26
chocolate;2.5;0;1;0;01/02/2016;4ª semana;25/02/2016;alimentação;2016-02-01;2016-02-25
chocolate;23.9;0;1;0;01/02/2016;4ª semana;25/02/2016;alimentação;2016-02-01;2016-02-25
salgado;5.7;0;1;0;01/02/2016;4ª semana;24/02/2016;alimentação;2016-02-01;2016-02-24
benção;100;0;1;0;01/02/2016;fim de semana;21/02/2016;benção;2016-02-01;2016-02-21
taxi domingo;50;0;1;0;01/02/2016;fim de semana;21/02/2016;transporte;2016-02-01;2016-02-21
canelone;25.8;0;1;0;01/02/2016;fim de semana;21/02/2016;alimentação;2016-02-01;2016-02-21
carne - acem picadinho;40.35;0;1;0;01/02/2016;fim de semana;21/02/2016;alimentação;2016-02-01;2016-02-21
feira;70;0;1;0;01/02/2016;fim de semana;20/02/2016;feira;2016-02-01;2016-02-20
comgas;20.05;1;0;0;01/02/2016;fim de semana;20/02/2016;casa;2016-02-01;2016-02-20
saque;75;0;1;0;01/02/2016;fim de semana;20/02/2016;saque;2016-02-01;2016-02-20
padaria;34.64;0;1;0;01/02/2016;fim de semana;20/02/2016;padaria;2016-02-01;2016-02-20
padaria;25.75;0;1;0;01/02/2016;3ª semana;19/02/2016;padaria;2016-02-01;2016-02-19
chocolate;11.98;0;1;0;01/02/2016;3ª semana;19/02/2016;alimentação;2016-02-01;2016-02-19
csll tri - boleto - 1,88;144.76;1;0;0;01/02/2016;3ª semana;18/02/2016;imposto;2016-02-01;2016-02-18
irpj - boleto - 0,90;69.3;1;0;0;01/02/2016;3ª semana;18/02/2016;imposto;2016-02-01;2016-02-18
chocolate;9.9;0;1;0;01/02/2016;3ª semana;18/02/2016;alimentação;2016-02-01;2016-02-18
mercado;46.9;0;1;0;01/02/2016;3ª semana;18/02/2016;mercado;2016-02-01;2016-02-18
salgado trampo;5.7;0;1;0;01/02/2016;3ª semana;17/02/2016;alimentação;2016-02-01;2016-02-17
agua / bala;14.67;0;1;0;01/02/2016;3ª semana;17/02/2016;alimentação;2016-02-01;2016-02-17
café salgado;5;0;1;0;01/02/2016;3ª semana;16/02/2016;alimentação;2016-02-01;2016-02-16
chocolate;11.98;0;1;0;01/02/2016;3ª semana;16/02/2016;alimentação;2016-02-01;2016-02-16
convenio;137.16;0;1;0;01/02/2016;3ª semana;16/02/2016;convenio;2016-02-01;2016-02-16
consorcio;575.36;1;0;0;01/02/2016;3ª semana;15/02/2016;investimento;2016-02-01;2016-02-15
celular;30;0;1;0;01/02/2016;3ª semana;15/02/2016;celular;2016-02-01;2016-02-15
chocolatado;3.9;0;1;0;01/02/2016;3ª semana;15/02/2016;alimentação;2016-02-01;2016-02-15
coxinha;4.5;0;1;0;01/02/2016;3ª semana;15/02/2016;alimentação;2016-02-01;2016-02-15
futebol;125.31;0;1;0;01/02/2016;fim de semana;14/02/2016;lazer;2016-02-01;2016-02-14
feira;60;0;1;0;01/02/2016;fim de semana;14/02/2016;feira;2016-02-01;2016-02-14
mercado;50;0;1;0;01/02/2016;fim de semana;14/02/2016;mercado;2016-02-01;2016-02-14
cabelereiro;20;0;1;0;01/02/2016;fim de semana;13/02/2016;pessoal;2016-02-01;2016-02-13
agua;21;0;1;0;01/02/2016;fim de semana;13/02/2016;alimentação;2016-02-01;2016-02-13
ajuda campanha;4;0;1;0;01/02/2016;fim de semana;13/02/2016;doação;2016-02-01;2016-02-13
emprestimo;0;0;1;0;01/02/2016;fim de semana;13/02/2016;pessoal;2016-02-01;2016-02-13
agua futebol;5;0;1;0;01/02/2016;fim de semana;13/02/2016;alimentação;2016-02-01;2016-02-13
cartão de credito;1752.99;1;0;0;01/02/2016;2ª semana;12/02/2016;cartão credito;2016-02-01;2016-02-12
mercado;38.25;0;1;0;01/02/2016;2ª semana;12/02/2016;mercado;2016-02-01;2016-02-12
almoço;26;0;1;0;01/02/2016;2ª semana;11/02/2016;almoço;2016-02-01;2016-02-11
SEGURO CARTÃO;5.32;1;0;0;01/02/2016;1ª semana;10/02/2016;banco;2016-02-01;2016-02-10
UNICEF;50;1;0;0;01/02/2016;1ª semana;10/02/2016;doação;2016-02-01;2016-02-10
TAXA CONTA JURIDICA;64;1;0;0;01/02/2016;1ª semana;10/02/2016;banco;2016-02-01;2016-02-10
SEGURO RESIDENCIA;45.74;1;0;0;01/02/2016;1ª semana;10/02/2016;banco;2016-02-01;2016-02-10
net;325.52;1;0;0;01/02/2016;1ª semana;10/02/2016;casa;2016-02-01;2016-02-10
contador;145;1;0;0;01/02/2016;1ª semana;10/02/2016;contador;2016-02-01;2016-02-10
custo total aluguel;1344.23;1;0;0;01/02/2016;1ª semana;10/02/2016;casa;2016-02-01;2016-02-10
luz;81.31;1;0;0;01/02/2016;1ª semana;10/02/2016;casa;2016-02-01;2016-02-10
boleto moçambique;0;1;0;1;01/02/2016;2ª semana;10/02/2016;benção;2016-02-01;2016-02-10
dizimo;0;1;0;1;01/02/2016;2ª semana;10/02/2016;benção;2016-02-01;2016-02-10
almoço;20;0;1;0;01/02/2016;2ª semana;10/02/2016;almoço;2016-02-01;2016-02-10
feira;0;0;1;1;01/02/2016;2ª semana;10/02/2016;feira;2016-02-01;2016-02-10
convenio;0;0;1;1;01/02/2016;2ª semana;10/02/2016;saude;2016-02-01;2016-02-10
açougue;0;0;1;1;01/02/2016;2ª semana;10/02/2016;alimentação;2016-02-01;2016-02-10
padaria;0;0;1;1;01/02/2016;2ª semana;10/02/2016;padaria;2016-02-01;2016-02-10
mercado;270.18;0;1;0;01/02/2016;2ª semana;09/02/2016;mercado;2016-02-01;2016-02-09
praia;96;1;0;0;01/01/2016;5ª semana;08/02/2016;lazer;2016-01-01;2016-02-08
pedagio;35;1;0;0;01/01/2016;5ª semana;08/02/2016;carro;2016-01-01;2016-02-08
padaria;38;1;0;0;01/01/2016;fim de semana;07/02/2016;padaria;2016-01-01;2016-02-07
benção;50;1;0;0;01/01/2016;fim de semana;07/02/2016;benção;2016-01-01;2016-02-07
padaria;20;1;0;0;01/01/2016;fim de semana;07/02/2016;padaria;2016-01-01;2016-02-07
cds;10;1;0;0;01/01/2016;fim de semana;07/02/2016;pessoal;2016-01-01;2016-02-07
feira;63;1;0;0;01/01/2016;fim de semana;06/02/2016;feira;2016-01-01;2016-02-06
manicure;65;1;0;0;01/01/2016;fim de semana;06/02/2016;pessoal;2016-01-01;2016-02-06
pastel/caldo cana;24;1;0;0;01/01/2016;fim de semana;06/02/2016;alimentação;2016-01-01;2016-02-06
padaria;29.07;1;0;0;01/01/2016;4ª semana;05/02/2016;padaria;2016-01-01;2016-02-05
