"descrição";"data";"lançamento";"ag./origem";"valor (R$)";"valor_convertido_saida (R$)";"valor_convertido_entrada (R$)";"REF"
"compras";"26/01/2021";"ELECTRONINDIGO";"9212";-14;14;0;01/01/2021
"compras";"26/01/2021";"ELECTRONLILIANE AYU";"9212";-7;7;0;01/01/2021
"lazer";"26/01/2021";"ELECTRONMARGINAL GR";"9212";-140;140;0;01/01/2021
"compras";"26/01/2021";"ELECTRONPAG*galasso";"9212";-5,01;5,01;0;01/01/2021
"compras";"26/01/2021";"ELECTRONPAG*galasso";"9212";-5;5;0;01/01/2021
"frango";"26/01/2021";"ELECTRONPAG*Frigott";"9212";-50;50;0;01/01/2021
"alimentação";"26/01/2021";"ELECTRONRAVIOLITALI";"9212";-55,15;55,15;0;01/01/2021
"mercado";"26/01/2021";"ELECTRONTRIMAIS SUP";"9212";-73,55;73,55;0;01/01/2021
"mercado";"26/01/2021";"ELECTRONTRIMAIS SUP";"9212";-104,74;104,74;0;01/01/2021
"cabeleireiro";"26/01/2021";"PIX TRANSF  ALEXAND23/01";"9026";-25;25;0;01/01/2021
"deposito";"26/01/2021";"TBI 0747.56106-6     C/C";"4175";200;0;200;01/01/2021
"saldo";"26/01/2021";"SALDO DO DIA";;-812,34;0;0;01/01/2021
"farmacia";"27/01/2021";"ELECTRONFARMACIA IN";"9212";-7;7;0;01/01/2021
"farmacia";"27/01/2021";"ELECTRONPAG*Farmaco";"9212";-31,06;31,06;0;01/01/2021
"saldo";"27/01/2021";"SALDO DO DIA";;-850,4;0;0;01/01/2021
"gasolina";"28/01/2021";"ELECTRONAUTO POSTO";"9212";-13,99;13,99;0;01/01/2021
"farmacia";"28/01/2021";"ELECTRONPROMOFARMA";"9212";-52,88;52,88;0;01/01/2021
"farmacia";"28/01/2021";"ELECTRONRAIA 47";"9212";-7,29;7,29;0;01/01/2021
"compras";"28/01/2021";"ELECTRONRIO CONTENS";"9212";-11;11;0;01/01/2021
"saldo";"28/01/2021";"SALDO DO DIA";;-935,56;0;0;01/01/2021
"agua";"29/01/2021";"ELECTRONBD";"9212";-11;11;0;01/01/2021
"compras";"29/01/2021";"ELECTRONPAG*MONICAP";"9212";-14,9;14,9;0;01/01/2021
"saldo";"29/01/2021";"SALDO ANTERIOR";;;0;0;01/02/2021
"saque";"01/02/2021";"SAQUE 24H 12244067 31/01";"5086";-100;100;0;01/02/2021
"padaria";"01/02/2021";"ELECTRONARIZONA PAE";"9212";-12,9;12,9;0;01/02/2021
"padaria";"01/02/2021";"ELECTRONARIZONA PAE";"9212";-6,71;6,71;0;01/02/2021
