"descrição";"data";"lançamento";"ag./origem";"valor (R$)";"valor_convertido_saida (R$)";"valor_convertido_entrada (R$)";"REF"
"lazer";"24/06/2021";"PIX TRANSF  OPIUM M24/06";"9132";-678;678;0;01/06/2021
"saldo";"24/06/2021";"SALDO DO DIA";;;0;0;01/06/2021
"saque";"25/06/2021";"SAQUE 24H 08140386";"5086";-50;50;0;01/06/2021
"compras";"25/06/2021";"ELECTRONBRAZ LEME";"9212";-30,8;30,8;0;01/06/2021
"compras";"25/06/2021";"ELECTRONPAG*MONICAP";"9212";-14,7;14,7;0;01/06/2021
"farmacia";"25/06/2021";"ELECTRONRAIA 47";"9212";-21,05;21,05;0;01/06/2021
"farmacia";"25/06/2021";"ELECTRONRAIA 47";"9212";-65,99;65,99;0;01/06/2021
"compras";"25/06/2021";"ELECTRONSONEDA PERF";"9212";-36,18;36,18;0;01/06/2021
"mercado";"25/06/2021";"ELECTRONTRIMAIS II";"9212";-16,48;16,48;0;01/06/2021
"mercado";"25/06/2021";"ELECTRONTRIMAIS II";"9212";-118,11;118,11;0;01/06/2021
"mercado";"25/06/2021";"ELECTRONYINGXUE MA";"9212";-13;13;0;01/06/2021
"lazer";"25/06/2021";"PIX TRANSF  OPIUM M25/06";"9128";-148;148;0;01/06/2021
"saldo";"25/06/2021";"SALDO DO DIA";;;0;0;01/06/2021
"compras";"28/06/2021";"ELECTRONBD";"9212";-11;11;0;01/06/2021
"compras";"28/06/2021";"ELECTRONCB CONCEITO";"9212";-264,04;264,04;0;01/06/2021
"compras";"28/06/2021";"ELECTRONFINI";"9212";-14,77;14,77;0;01/06/2021
"alimentação";"28/06/2021";"ELECTRONHABIBS";"9212";-46,9;46,9;0;01/06/2021
"compras";"28/06/2021";"ELECTRONKRAFT";"9212";-24;24;0;01/06/2021
"mercado";"28/06/2021";"ELECTRONTRIMAIS II";"9212";-49,86;49,86;0;01/06/2021
"pix";"28/06/2021";"PIX TRANSF  MANOEL 27/06";"9327";-7;7;0;01/06/2021
"saldo";"28/06/2021";"SALDO DO DIA";;;0;0;01/06/2021
"poupança";"30/06/2021";"TBI 9293.22915-0/500";"4175";-5000;5000;0;01/06/2021
"compras";"30/06/2021";"INT DARF319977560211";"4175";-442,19;442,19;0;01/06/2021
"padaria";"30/06/2021";"ELECTRONARIZONA PAE";"9212";-42,73;42,73;0;01/06/2021
"igreja";"30/06/2021";"PIX TRANSF  IMW 3 R30/06";"9129";-1095;1095;0;01/06/2021
"pix";"30/06/2021";"PIX TRANSF  ANDRE N30/06";"9122";10950,42;0;10950,42;01/06/2021
"saldo";"30/06/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/06/2021
"saldo";"30/06/2021";"SALDO DO DIA";;;0;0;01/06/2021
"saldo";"30/06/2021";"SALDO ANTERIOR";;;0;0;01/07/2021
"compras";"01/07/2021";"ELECTRONKAMIA";"9212";-3;3;0;01/07/2021
"compras";"01/07/2021";"ELECTRONPAG*Marcelo";"9212";-5;5;0;01/07/2021
"compras";"01/07/2021";"ELECTRONPAG*NelsonD";"9212";-16;16;0;01/07/2021
"pix";"01/07/2021";"PIX TRANSF  MARIO A01/07";"9127";-140;140;0;01/07/2021
"saldo";"01/07/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/07/2021
"banco";"02/07/2021";"IOF";;-11,27;11,27;0;01/07/2021
"poupança";"02/07/2021";"TBI 9293.22915-0/500";"4175";-14000;14000;0;01/07/2021
"pix";"02/07/2021";"PIX TRANSF  ANDRE N02/07";"9953";14600;0;14600;01/07/2021
"compras";"02/07/2021";"TAR PACOTE ITAU   JUN/21";"9293";-82,9;82,9;0;01/07/2021
"saldo";"02/07/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/07/2021
"compras";"05/07/2021";"ELECTRONA PREFERIDA";"9212";-4,49;4,49;0;01/07/2021
"padaria";"05/07/2021";"ELECTRONARIZONA PAE";"9212";-32,25;32,25;0;01/07/2021
"compras";"05/07/2021";"ELECTRONBD";"9212";-11;11;0;01/07/2021
"compras";"05/07/2021";"ELECTRONCHINEN BOX";"9212";-12,47;12,47;0;01/07/2021
"compras";"05/07/2021";"ELECTRONCLAUDIO FEI";"9212";-9;9;0;01/07/2021
"compras";"05/07/2021";"ELECTRONDIEGO GABRI";"9212";-40;40;0;01/07/2021
"farmacia";"05/07/2021";"ELECTRONDROGARIA PR";"9212";-18,99;18,99;0;01/07/2021
"farmacia";"05/07/2021";"ELECTRONFARMACIAS P";"9212";-6,99;6,99;0;01/07/2021
"compras";"05/07/2021";"ELECTRONJULIO   VIV";"9212";-5;5;0;01/07/2021
"compras";"05/07/2021";"ELECTRONLEGUMES& VE";"9212";-5;5;0;01/07/2021
"compras";"05/07/2021";"ELECTRONMANOEL FERR";"9212";-3;3;0;01/07/2021
"compras";"05/07/2021";"ELECTRONNOVA BRUXEL";"9212";-72;72;0;01/07/2021
"compras";"05/07/2021";"ELECTRONPAG*EmilySa";"9212";-6;6;0;01/07/2021
"compras";"05/07/2021";"ELECTRONPAG*Patrici";"9212";-40;40;0;01/07/2021
"compras";"05/07/2021";"ELECTRONPAG*Yasuich";"9212";-14;14;0;01/07/2021
"compras";"05/07/2021";"ELECTRONRGR MODAS";"9212";-60;60;0;01/07/2021
"compras";"05/07/2021";"ELECTRONSILVIO NAKA";"9212";-107,97;107,97;0;01/07/2021
"compras";"05/07/2021";"ELECTRONTOP EMBALAG";"9212";-4,8;4,8;0;01/07/2021
"mercado";"05/07/2021";"ELECTRONTRIMAIS II";"9212";-153,35;153,35;0;01/07/2021
"mercado";"05/07/2021";"ELECTRONTRIMAIS II";"9212";-225,16;225,16;0;01/07/2021
"compras";"05/07/2021";"DA  NEXTEL TELECOM 72411";"9293";-85;85;0;01/07/2021
"saldo";"05/07/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/07/2021
"enfermagem";"06/07/2021";"INT PAG TIT 109006203499";"4175";-471,05;471,05;0;01/07/2021
"compras";"06/07/2021";"ELECTRONMEGA SHOW T";"9212";-52;52;0;01/07/2021
"farmacia";"06/07/2021";"ELECTRONPROMOFARMA";"9212";-35,89;35,89;0;01/07/2021
"mercado";"06/07/2021";"ELECTRONTRIMAIS II";"9212";-118,31;118,31;0;01/07/2021
"saldo";"06/07/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/07/2021
"compras";"07/07/2021";"ELECTRONANNE COMERC";"9212";-27;27;0;01/07/2021
"compras";"07/07/2021";"ELECTRONESTACAO LIN";"9212";-4,9;4,9;0;01/07/2021
"compras";"07/07/2021";"ELECTRONINGRALEX KI";"9212";-41;41;0;01/07/2021
"compras";"07/07/2021";"ELECTRONJAQUELINE A";"9212";-50;50;0;01/07/2021
"compras";"07/07/2021";"ELECTRONLUCILENE SO";"9212";-6;6;0;01/07/2021
"compras";"07/07/2021";"ELECTRONPAG*bancado";"9212";-42;42;0;01/07/2021
"compras";"07/07/2021";"ELECTRONPAG*AlexPer";"9212";-40;40;0;01/07/2021
"compras";"07/07/2021";"ELECTRONPAG*Katani";"9212";-47;47;0;01/07/2021
"compras";"07/07/2021";"ELECTRONPAG*Renaldo";"9212";-15;15;0;01/07/2021
"compras";"07/07/2021";"ELECTRONPAG*YanyiQi";"9212";-44;44;0;01/07/2021
"compras";"07/07/2021";"ELECTRONYOYOMINI PR";"9212";-14,97;14,97;0;01/07/2021
"compras";"07/07/2021";"ELECTRONYOYOMINI PR";"9212";-5,99;5,99;0;01/07/2021
"saldo";"07/07/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/07/2021
"condominio";"08/07/2021";"INT PAG TIT 109075349218";"4175";-546,08;546,08;0;01/07/2021
"alimentação";"08/07/2021";"ELECTRONCASA BALDUC";"9212";-13,9;13,9;0;01/07/2021
"alimentação";"08/07/2021";"ELECTRONCASA BALDUC";"9212";-28,8;28,8;0;01/07/2021
"alimentação";"08/07/2021";"ELECTRONMC DONALDS";"9212";-38,8;38,8;0;01/07/2021
"compras";"08/07/2021";"ELECTRONRIACHUELO-F";"9212";-179,7;179,7;0;01/07/2021
"compras";"08/07/2021";"ELECTRONS KOMESU MA";"9212";-15,45;15,45;0;01/07/2021
"compras";"08/07/2021";"ELECTRONSACARIA MAL";"9212";-28,6;28,6;0;01/07/2021
"alimentação";"08/07/2021";"ELECTRONSUCOECIA";"9212";-3,5;3,5;0;01/07/2021
"alimentação";"08/07/2021";"ELECTRONSUCOECIA";"9212";-9;9;0;01/07/2021
"cabeleireiro";"08/07/2021";"PIX TRANSF  Alexand08/07";"9136";-25;25;0;01/07/2021
"resgate";"08/07/2021";"TBI 9293.22915-0/500";"4175";1591,52;0;1591,52;01/07/2021
"saldo";"08/07/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/07/2021
"saque";"12/07/2021";"SAQUE 24H 10873537 11/07";"5086";-100;100;0;01/07/2021
"celular";"12/07/2021";"INT NEXTEL 9199999667644";"4175";-51;51;0;01/07/2021
"padaria";"12/07/2021";"ELECTRONARIZONA PAE";"9212";-27,28;27,28;0;01/07/2021
"compras";"12/07/2021";"ELECTRONMARCIO ANTO";"9212";-45;45;0;01/07/2021
"frango";"12/07/2021";"ELECTRONPAG*Frigott";"9212";-52;52;0;01/07/2021
"farmacia";"12/07/2021";"ELECTRONPROMOFARMA";"9212";-62,99;62,99;0;01/07/2021
"farmacia";"12/07/2021";"ELECTRONPROMOFARMA";"9212";-20,18;20,18;0;01/07/2021
"compras";"12/07/2021";"ELECTRONSONEDA PERF";"9212";-6,2;6,2;0;01/07/2021
"mercado";"12/07/2021";"ELECTRONTRIMAIS II";"9212";-28,9;28,9;0;01/07/2021
"mercado";"12/07/2021";"ELECTRONTRIMAIS II";"9212";-2,59;2,59;0;01/07/2021
"mercado";"12/07/2021";"ELECTRONTRIMAIS II";"9212";-39,4;39,4;0;01/07/2021
"mercado";"12/07/2021";"ELECTRONTRIMAIS II";"9212";-54,31;54,31;0;01/07/2021
"mercado";"12/07/2021";"ELECTRONTRIMAIS II";"9212";-45,26;45,26;0;01/07/2021
"compras";"12/07/2021";"ELECTRONYINGXUE MA";"9212";-24;24;0;01/07/2021
"compras";"12/07/2021";"ELECTRONYINGXUE MA";"9212";-34;34;0;01/07/2021
"carro";"12/07/2021";"PIX TRANSF  ALDAIR 10/07";"9126";-25;25;0;01/07/2021
"banco";"12/07/2021";"SEGURO CARTAO";"9293";-6,94;6,94;0;01/07/2021
"benção";"12/07/2021";"DEB AUTOR UNICEF";"9293";-75;75;0;01/07/2021
"saldo";"12/07/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/07/2021
"padaria";"13/07/2021";"ELECTRONPADARIA PAL";"9212";-2;2;0;01/07/2021
"saldo";"13/07/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/07/2021
"saque";"14/07/2021";"SAQUE 24H 00792325";"5086";-300;300;0;01/07/2021
"compras";"14/07/2021";"ELECTRONGEMMISAN CO";"9212";-15;15;0;01/07/2021
"compras";"14/07/2021";"ELECTRONKALUNGA NOV";"9212";-9,4;9,4;0;01/07/2021
"compras";"14/07/2021";"ELECTRONKALUNGA NOV";"9212";-4,7;4,7;0;01/07/2021
"alimentação";"14/07/2021";"ELECTRONMC DONALDS";"9212";-29,3;29,3;0;01/07/2021
"alimentação";"14/07/2021";"ELECTRONPOLLY EMPOR";"9212";-1,5;1,5;0;01/07/2021
"farmacia";"14/07/2021";"ELECTRONPROMO FARMA";"9212";-5,29;5,29;0;01/07/2021
"farmacia";"14/07/2021";"ELECTRONPROMOFARMA";"9212";-39,42;39,42;0;01/07/2021
"compras";"14/07/2021";"ELECTRONVICTOR MORE";"9212";-49,9;49,9;0;01/07/2021
"internet";"14/07/2021";"PIX TRANSF  ELIZABE14/07";"9126";-200;200;0;01/07/2021
"creche";"14/07/2021";"PIX TRANSF  ESPACO 14/07";"9123";-462;462;0;01/07/2021
"podologa";"14/07/2021";"PIX TRANSF  Vanessa14/07";"9128";-90;90;0;01/07/2021
"saldo";"14/07/2021";"SALDO DO DIA";;;0;0;01/07/2021
"compras";"15/07/2021";"ELECTRONMARCO MACIE";"9212";-18;18;0;01/07/2021
"compras";"15/07/2021";"ELECTRONRODOSNACK R";"9212";-13,5;13,5;0;01/07/2021
"saldo";"15/07/2021";"SALDO DO DIA";;;0;0;01/07/2021
"passeio";"16/07/2021";"SAQUE 24H 01675115";"5086";-250;250;0;01/07/2021
"saldo";"16/07/2021";"SALDO DO DIA";;;0;0;01/07/2021
"compras";"17/07/2021";"ELECTRONCONVENIENCI";"6509";-2;2;0;01/07/2021
"compras";"17/07/2021";"ELECTRONCONVENIENCI";"6509";-5;5;0;01/07/2021
"saldo";"17/07/2021";"SALDO DO DIA";;;0;0;01/07/2021
"cartão de credito";"19/07/2021";"INT ITAUCARD";"4175";-5001,27;5001,27;0;01/07/2021
"saldo";"19/07/2021";"SALDO DO DIA";;;;;
